,#,project_date,project_ref#,investing_company,parent_company,company_profile,website,revenue_(usd_m),headcount,r&d_expenditure_(usd_m),year_established,company_email,company_telephone,source_region,source_country,source_state,source_admin_region_(us_county),source_city,destination_region,destination_country,destination_state,destination_admin_region_(us_county),destination_city,free_zone,relocation,sector,sub_sector,cluster,activity,jobs_created,estimated,capital_investment,estimated.1,project_type,project_status,motive_description,markets_served,joint_venture_companies,source,developed,emne,bordering_country,industry,natural_resource_ind,colonial_link,source_is_th,destination_is_th
29,30,Nov 2018,#318032,KEFI Minerals,KEFI Minerals,"KEFI Minerals engages in the discovery, exploration and exploitation of mineral deposits primarily within Saudi Arabia. It explores for gold and copper mineralisation, as well as precious and base metals. KEFI Minerals was founded in 2006 and is based in Nicosia, Cyprus.",www.kefi-minerals.com,,,,2006.0,,+35722256161,Emerging Europe,cyprus,Cyprus,Cyprus,Nicosia,Africa,ethiopia,Oromia,Not Specified,West Wellega,,,Metals,Gold ore & silver ore mining,Physical Sciences,Extraction,757,Yes,318.3,Yes,Expansion,Announced,,,,http://www.lse.co.uk/AllNews.asp?code=8rcacyf5&headline=KEFI_Minerals_Says_Preparatory_Field_Activities_Resume_In_Ethiopia,True,False,False,metals_gold_ore_and_silver_ore_mining_extraction,True,False,True,False
37,38,Nov 2018,#318396,Diethelm Keller Siber Hegner (DKSH),Diethelm Keller Holding,"Diethelm Keller Holding, along with its subsidiaries, engages in marketing, brand management, logistics and travel businesses. The company provides sourcing, marketing, sales, distribution and aftersales services. It also offers marketing, brand building and distribution services for medium-sized enterprises. Diethelm Keller Holding was founded in 2000 as a result of a merger between Diethelm and Edward Keller. The company is headquartered in Zurich, Switzerland.",www.diethelmkeller.com,12160.0,0.0,,2000.0,,+41443867272,Western Europe,switzerland,Switzerland,Zurich,Zurich,Asia-Pacific,myanmar,Mandalay,Not Specified,Mandalay,,,Transportation & Warehousing,Freight/Distribution Services,Industrial,"Logistics, Distribution & Transportation",151,Yes,78.5,Yes,New,Opened,,,,"http://dksh.com/mm-en/home/media/news?id=tag:xml.newsbox.ch,2018-11-16:1101.1342.digest",True,False,False,transportation_and_warehousing_freightdistribution_services_logistics_distribution_and_transportation,False,False,True,False
47,48,Nov 2018,#399091,Grandes Moagens de Angola,Webcor Group,"Webcor Group is an agro-industrial food production and distribution company, specialising in sourcing, manufacturing, distributing and trading of soft commodities and fast-moving consumer goods (FMCG). The company was founded in 1978 and is based in Geneva, Switzerland.",www.webcorgroup.com,,0.0,,1978.0,info@gmangola.com,+244946466473,Western Europe,switzerland,Switzerland,Geneve,Geneva,Africa,angola,Benguela,Not Specified,Lobito,,,Food & Beverages,Grains & oilseed,Agribusiness,Manufacturing,255,Yes,44.4,Yes,New,Opened,,,,https://www.foodbusinessafrica.com/webcor-groups-subsidiary-triples-capacity-of-packaging-bags-manufacturing-with-us9-5m-investment/,True,False,False,food_and_beverages_grains_and_oilseed_manufacturing,True,False,True,False
49,50,Oct 2018,#316263,Jardine Schindler Group,Jardine Matheson Holdings,"Jardine Matheson Holdings, through its subsidiaries, engages in engineering and construction, transport services, insurance broking, property investment and development, retailing, restaurants, luxury hotels, motor vehicles and related activities, financial services, heavy equipment, mining, and agribusinesses primarily in Greater China and south-east Asia. The company is based in Central, Hong Kong, and was founded in 1832.",www.jardines.com,90906.0,403000.0,,1832.0,jsg@hk.schindler.com,+85225168168,Asia-Pacific,hong_kong,Hong Kong,Hong Kong,Hong Kong,Asia-Pacific,myanmar,Rangoon (Yangon),Not Specified,Rangoon (Yangon),,,Industrial equipment,General purpose machinery,Industrial,Education & Training,10,No,4.2,Yes,New,Opened,"Wai Sam Wong, managing director of Myanmar Jardine Schindler Limited. ""The training centre demonstrates Schindler's long-term commitment to safety and quality to deliver outstanding customer service through professionally trained technicians. This is the key element in driving sustainable growth in Myanmar.""",,,https://en.prnasia.com/releases/apac/jardine-schindler-launched-its-sixth-training-centre-in-yangon-myanmar-225850.shtml,False,True,False,industrial_equipment_general_purpose_machinery_education_and_training,False,False,True,False
55,56,Oct 2018,#318007,Radisson Hospitality (Rezidor Hotel Group),Radisson Hospitality (Rezidor Hotel Group),"Radisson Hospitality, AB, is a hotel group. Originally founded in 1960 by Scandinavian conglomerate SAS Group as a hotel, it became a listed company in 2006. The global headquarters of Rezidor also relocated to Brussels, Belgium circa 1989. In 2005, Carlson also acquired 25% shares of Rezidor Hotel Group from SAS Group. Since 2007, SAS Group ceased to be a shareholder of the company. In 2010, Carlson Companies acquired the controlling influence (more than 50.1% shares) on the listed company. In 2012, Rezidor Hotel Group started to integrate with direct parent company, Carlson Hotels, which both companies would collectivity known as Carlson Rezidor Hotel Group. Carlson Hotels, Inc. and subsidiaries, including Rezidor Hotel Group, were sold to Chinese conglomerate HNA Group in 2016. However, in 2018, the CarlsonRezidor group was re-sold to a consortium led by Jin Jiang International Holdings. In 2018, Rezidor Hotel Group AB was renamed to Radisson Hospitality AB. The direct parent company, Carlson Hotels, Inc., had become Radisson Hospitality, Inc., the whole hotel group also had a new trading name Radisson Hotel Group. Radisson Hotel Group operates as a subsidiary of China-based Shanghai Jin Jiang International Hotels.",www.radissonhotelgroup.com/,1204.52,0.0,,1960.0,,,Western Europe,belgium,Brussels Capital Region,Brussels,Brussels,Africa,niger,Niger,Not Specified,Niamey,,,Hotels & tourism,Accommodation,Tourism,Construction,202,Yes,100.2,Yes,New,Announced,,,,https://www.radissonhotelgroup.com/media_press-releases&article=radisson-hotel-group-accelerates-its-african-expansion-plan-signing-10-new-hotels,True,False,False,hotels_and_tourism_accommodation_construction,False,False,True,False
56,57,Oct 2018,#318008,Radisson Hospitality (Rezidor Hotel Group),Radisson Hospitality (Rezidor Hotel Group),"Radisson Hospitality, AB, is a hotel group. Originally founded in 1960 by Scandinavian conglomerate SAS Group as a hotel, it became a listed company in 2006. The global headquarters of Rezidor also relocated to Brussels, Belgium circa 1989. In 2005, Carlson also acquired 25% shares of Rezidor Hotel Group from SAS Group. Since 2007, SAS Group ceased to be a shareholder of the company. In 2010, Carlson Companies acquired the controlling influence (more than 50.1% shares) on the listed company. In 2012, Rezidor Hotel Group started to integrate with direct parent company, Carlson Hotels, which both companies would collectivity known as Carlson Rezidor Hotel Group. Carlson Hotels, Inc. and subsidiaries, including Rezidor Hotel Group, were sold to Chinese conglomerate HNA Group in 2016. However, in 2018, the CarlsonRezidor group was re-sold to a consortium led by Jin Jiang International Holdings. In 2018, Rezidor Hotel Group AB was renamed to Radisson Hospitality AB. The direct parent company, Carlson Hotels, Inc., had become Radisson Hospitality, Inc., the whole hotel group also had a new trading name Radisson Hotel Group. Radisson Hotel Group operates as a subsidiary of China-based Shanghai Jin Jiang International Hotels.",www.radissonhotelgroup.com/,1204.52,0.0,,1960.0,,,Western Europe,belgium,Brussels Capital Region,Brussels,Brussels,Africa,guinea,Conakry,Not Specified,Conakry,,,Hotels & tourism,Accommodation,Tourism,Construction,202,Yes,100.2,Yes,New,Announced,,,,https://www.radissonhotelgroup.com/media_press-releases&article=radisson-hotel-group-accelerates-its-african-expansion-plan-signing-10-new-hotels,True,False,False,hotels_and_tourism_accommodation_construction,False,False,True,False
64,65,Oct 2018,#317864,Lafarge South Africa,LafargeHolcim,"Holcim Group, formerly known as LafargeHolcim, is a building materials firm. The company was formed by the merger of Holcim and Lafarge in July 2015. It is headquartered in Jona, Switzerland.",www.holcim.com/,27984.29,0.0,247.16,2015.0,,+27116570000,Western Europe,switzerland,Switzerland,Sankt Gallen,Jona,Africa,lesotho,Maseru,Not Specified,Maseru,,,Building materials,Cement & concrete products,Construction,Manufacturing,150,No,65.5,Yes,New,Opened,,,"Lafarge South Africa, Lephema Executive Group",https://www.cemnet.com/News/story/165108/new-cement-plant-for-lesotho.html,True,False,False,building_materials_cement_and_concrete_products_manufacturing,False,False,True,False
69,70,Sep 2018,#350844,Tuttnauer,Tuttnauer,"The Netherlands-based Tuttnauer manufactures autoclaves, plasma sterilizers and washer-disinfectors. The company was founded in 1925 and is based in Breda, the Netherlands.",tuttnauer.com,,,,1925.0,,+31765423510,Western Europe,netherlands,South Netherlands,Noord-Brabant,Breda,Africa,ethiopia,Addis Ababa,Not Specified,Addis Ababa,,,Medical devices,Medical equipment & supplies,Life sciences,"Sales, Marketing & Support",18,Yes,1.9,Yes,New,Opened,,,,https://tuttnauer.com/blog/making-inroads-in-africa,True,False,False,medical_devices_medical_equipment_and_supplies_sales_marketing_and_support,False,False,True,False
70,71,Sep 2018,#358725,VFS Global,Kuoni,"Kuoni is a tourist travel company. Kuoni was founded in 1906 and is currently headquartered in Zurich, Switzerland.",www.kuoni.com,3456.82,0.0,,1906.0,customercare@vfsglobal.com,+97142567077,Western Europe,switzerland,Switzerland,Zurich,Zurich,Africa,gambia,Gambia,Not Specified,Banjul,,,Business services,Other support services,Professional Services,Business Services,32,Yes,21.6,Yes,New,Opened,,,,https://www.vfsglobal.com/en/PDF/media-releases/2018/China-in-Gambia.pdf,True,False,False,business_services_other_support_services_business_services,False,False,True,False
71,72,Sep 2018,#341635,planitswiss,planitswiss,"planitswiss is a full-service hospitality solutions provider that specialises in the planning and execution of tailor-made corporate events. The company was founded in 2012 and is headquartered in Lutry, Switzerland.",planitswiss.com/,,,,2012.0,service@planitswiss.com,+41213201330,Western Europe,switzerland,Switzerland,Vaud,Lutry,Africa,rwanda,Kigali Province,Not Specified,Kigali,,,Business services,"Advertising, PR, & related",Creative Industries,Business Services,32,Yes,21.6,Yes,New,Opened,,Africa,,https://www.businesstimes.com.sg/hub/swiss-national-day-2019/swiss-quality-singapore-opportunity,True,False,False,business_services_advertising_pr_and_related_business_services,False,False,True,False
