old_name,new_name
afghanistan,
angola,
australia,
bahrain,
bangladesh,
benin,
british_virgin_islands,
burkina_faso,
cambodia,
cameroon,
canada,
cayman_islands,
chad,
china_(mainland),china
congo_(drc),democratic_republic_of_congo
congo_(rc),congo
denmark,
east_timor_/_timor_leste,east_timor
ethiopia,
fiji,
france,
germany,
ghana,
haiti,
hong_kong,
india,
indonesia,
israel,
ivory_coast,cote_d_ivoire
japan,
jersey,
kenya,
kuwait,
laos,
luxembourg,
macau,
madagascar,
malawi,
malaysia,
mali,
mauritania,
mauritius,
morocco,
mozambique,
myanmar,
nepal,
netherlands,
nigeria,
norway,
qatar,
russia,
rwanda,
saudi_arabia,
senegal,
singapore,
south_africa,
south_korea,
spain,
sudan,
switzerland,
taiwan,
tanzania,
thailand,
togo,
uganda,
united_arab_emirates,
united_kingdom,
united_states,
unknown,
vietnam,
yemen,
zambia,
zimbabwe,
