country,count
Afghanistan,3
Albania,18
Algeria,21
American Somoa,4
Andorra,3
Angola,15
Anguilla,2
Argentina,248
Armenia,6
Aruba,4
Australia,3829
Austria,297
Azerbaijan,27
Bahamas,10
Bahrain,26
Bangladesh,23
Barbados,5
Belarus,86
Belgium,669
Belize,4
Benin,5
Bermuda,60
Bhutan,1
Bolivia,10
Bosnia,60
Botswana,20
Brazil,1455
British Virgin,37
Brunei,3
Bulgaria,115
Burkina Faso,14
Burundi,3
C. African Rep,2
Cambodia,50
Cameroon,10
Canada,5529
Cape Verde,5
Cayman Islands,34
Chad,4
Chile,268
China,13343
Colombia,210
Costa Rica,37
Croatia,125
Cyprus,131
Czech Republic,313
Dem Rep Congo,9
Denmark,650
Djibouti,4
Dominican Rep,14
East Germany,1
Ecuador,24
Egypt,179
El Salvador,8
Equator Guinea,1
Eritrea,1
Estonia,136
Ethiopia,13
Fiji,5
Finland,589
France,4337
Gabon,10
Gambia,1
Georgia,27
Germany,3423
Ghana,44
Gibraltar,11
Greece,170
Guadeloupe,2
Guam,3
Guatemala,11
Guernsey,40
Guinea,2
Guyana,5
Haiti,4
Honduras,2
Hong Kong,1742
Hungary,252
Iceland,26
India,3514
Indonesia,397
Iran,16
Iraq,10
Ireland-Rep,507
Isle of Man,18
Israel,384
Italy,2517
Ivory Coast,19
Jamaica,8
Japan,6056
Jersey,48
Jordan,26
Kazakhstan,111
Kenya,82
Kuwait,84
Kyrgyzstan,10
Laos,13
Latvia,97
Lebanon,17
Lesotho,7
Liberia,2
Libya,2
Liechtenstein,14
Lithuania,123
Luxembourg,178
Macau,13
Macedonia,19
Madagascar,10
Malawi,7
Malaysia,1127
Maldives,2
Mali,10
Malta,56
Marshall Is,4
Martinique,3
Mauritania,4
Mauritius,50
Mexico,381
Moldova,7
Monaco,11
Mongolia,9
Montenegro,20
Morocco,98
Mozambique,13
Myanmar(Burma),45
Namibia,38
Nepal,16
Neth Antilles,2
Netherlands,1438
New Zealand,601
Nicaragua,5
Niger,3
Nigeria,92
North Korea,1
Norway,624
Oman,48
Pakistan,104
Palestine,6
Panama,36
Papua N Guinea,10
Paraguay,15
Peru,181
Philippines,301
Poland,980
Portugal,377
Puerto Rico,31
Qatar,20
Rep of Congo,7
Reunion,8
Romania,268
Russian Fed,2828
Rwanda,7
San Marino,1
Saudi Arabia,150
Senegal,16
Serbia,129
Seychelles,11
Sierra Leone,2
Singapore,1233
Slovak Rep,70
Slovenia,92
Solomon Is,2
Somalia,1
South Africa,652
South Korea,3692
Spain,2324
Sri Lanka,120
St Kitts&Nevis,1
St Lucia,1
Sudan,4
Swaziland,5
Sweden,1585
Switzerland,801
Syria,4
Taiwan,672
Tajikistan,5
Tanzania,26
Thailand,433
Timor-Leste,2
Togo,8
Tonga,2
Trinidad&Tob,7
Tunisia,56
Turkey,378
US Virgin Is,1
Uganda,18
Ukraine,328
United Kingdom,7179
United States,28479
Uruguay,45
Utd Arab Em,299
Uzbekistan,16
Vanuatu,3
Venezuela,9
Vietnam,898
Western Sahara,1
Western Somoa,2
Yemen,2
Zaire,7
Zambia,31
Zimbabwe,21
