country,count
afghanistan,1
angola,1
australia,19
bahrain,1
bangladesh,6
benin,2
british_virgin_islands,1
burkina_faso,1
cambodia,7
cameroon,2
canada,18
cayman_islands,1
chad,1
china_(mainland),19
congo_(drc),1
congo_(rc),1
denmark,2
east_timor_/_timor_leste,2
ethiopia,8
fiji,1
france,19
germany,5
ghana,1
haiti,2
hong_kong,9
india,7
indonesia,3
israel,3
ivory_coast,2
japan,19
jersey,1
kenya,7
kuwait,1
laos,4
luxembourg,2
macau,1
madagascar,1
malawi,1
malaysia,6
mali,2
mauritania,3
mauritius,3
morocco,3
mozambique,2
myanmar,9
nepal,12
netherlands,6
nigeria,1
norway,2
qatar,1
russia,1
rwanda,1
saudi_arabia,1
senegal,4
singapore,14
south_africa,12
south_korea,6
spain,1
sudan,2
switzerland,5
taiwan,5
tanzania,4
thailand,6
togo,2
uganda,1
united_arab_emirates,3
united_kingdom,22
united_states,23
unknown,9
vietnam,1
yemen,1
zambia,4
zimbabwe,3
