industry,count
agriculture_and_livestock,10
alternative_energy_sources,4
asset_management,2
banks,25
brokerage,2
building_construction_and_engineering,7
cable,1
chemicals,4
construction_materials,3
credit_institutions,6
diversified_financials,2
e_commerce___b2b,2
educational_services,4
electronics,1
employment_services,1
food_and_beverage,18
food_and_beverage_retailing,4
healthcare_equipment_and_supplies,2
healthcare_providers_and_services__hmos,2
hospitals,2
hotels_and_lodging,4
household_and_personal_products,1
insurance,5
internet_software_and_services,3
it_consulting_and_services,5
metals_and_mining,44
motion_pictures___audio_visual,2
oil_and_gas,19
other_consumer_products,7
other_financials,11
other_industrials,3
other_materials,1
other_real_estate,6
other_retailing,2
other_telecom,1
paper_and_forest_products,1
pharmaceuticals,7
pipelines,1
power,4
professional_services,2
publishing,1
real_estate_management_and_development,2
recreation_and_leisure,1
software,4
telecommunications_services,11
textiles_and_apparel,5
tobacco,3
transportation_and_infrastructure,11
travel_services,2
water_and_waste_management,2
wireless,3
