country,count
australia,4
austria,2
azerbaijan,1
barbados,1
belgium,6
belize,1
botswana,4
burundi,2
cameroon,2
canada,2
chile,1
china,61
cote_d_ivoire,6
croatia,1
cyprus,1
denmark,6
egypt,5
ethiopia,3
finland,2
france,28
germany,30
ghana,1
hong_kong,19
india,32
indonesia,5
israel,3
italy,10
japan,49
kenya,14
malaysia,12
mauritius,1
mexico,1
morocco,7
netherlands,10
new_zealand,1
nigeria,7
norway,4
oman,1
papua_new_guinea,1
philippines,5
portugal,10
qatar,5
russia,6
rwanda,2
saudi_arabia,1
singapore,26
south_africa,25
south_korea,19
spain,8
sri_lanka,2
switzerland,31
taiwan,10
tanzania,1
thailand,32
togo,1
tunisia,2
turkey,3
turkmenistan,1
uae,26
ukraine,4
united_kingdom,28
united_states,49
vietnam,23
