#,project_date,project_ref#,investing_company,parent_company,company_profile,website,revenue_(usd_m),headcount,r&d_expenditure_(usd_m),year_established,company_email,company_telephone,source_region,source_country,source_state,source_admin_region_(us_county),source_city,destination_region,destination_country,destination_state,destination_admin_region_(us_county),destination_city,free_zone,relocation,sector,sub_sector,cluster,activity,jobs_created,estimated,capital_investment,estimated.1,project_type,project_status,motive_description,markets_served,joint_venture_companies,source,source_is_th,destination_is_th,source_questionable,developed,emne,bordering_country,industry,natural_resource_ind,colonial_link,year
375,2017-12-01,#293445,Sathapana Bank,Maruhan,"Maruhan operates entertainment facilities. It operates facilities, such as pachinko parlors, bowling alleys, golf driving ranges, amusement facilities, cinemas, and other leisure-related business. The company was founded in 1957 and is based in Kyoto, Japan.",www.maruhan.co.jp,25701.4,,,1957.0,info@sathapana.com.kh,+855969227777,Asia-Pacific,japan,Kansai,Kyoto,Kyoto,Asia-Pacific,cambodia,Phnom Penh,Not Specified,Phnom Penh,,,Financial services,Retail banking,Financial Services,Headquarters,341,Yes,60.0,No,Expansion,Announced,,,,http://www.phnompenhpost.com/business/new-capital-hq-planned-sathapana-bank,False,False,False,True,False,False,financial_services_retail_banking_headquarters,False,False,2017
377,2017-12-01,#293701,TOA Paint,TOA Paint,"TOA Paint, together with its subsidiaries and joint ventures, develops and produces paints for various applications. It provides architectural coatings; protective coatings; marine system coatings; wood coatings for furniture, kitchenware, flooring, and toys applications; and construction chemicals, including waterproofing products, joint sealants, elastic bonding, and concrete repair and protection products. TOA Paint was founded in 1972 and is based in Bangkok, Thailand.",www.toagroup.com,1131.71,,,,contact@toagroup.com,+6223355555,Asia-Pacific,thailand,Central,Not Specified,Bangkok,Asia-Pacific,cambodia,Phnom Penh,Not Specified,Phnom Penh,Phnom Penh Special Economic Zone,,Chemicals,"Paints, coatings, additives & adhesives",Industrial,Manufacturing,12,Yes,7.63,No,New,Announced,,South-east Asia,,http://www.ppsez.com/en/news/activities-announcements/,False,False,False,False,True,True,chemicals_paints_coatings_additives_and_adhesives_manufacturing,False,False,2017
381,2017-12-01,#292899,Socfin Agriculture,Bollore Group,"Bollore operates as a holding company. It offers transportation, logistics, communications, and electricity and storage solutions. Additionally, it manages a portfolio withing the communication and agricultural sector, which includes oil palm and rubber trees plantations, video game console suppliers, and manufacturers of steel tubes. It was founded in 1822 and is based in Puteaux, France.",www.bollore.com,21121.03,73410.0,,1822.0,,,Western Europe,france,Ile-de-France,Hauts-de-Seine,Puteaux,Asia-Pacific,cambodia,Mondulkiri,Not Specified,Not Specified,,,Rubber,Other rubber products,Physical Sciences,Manufacturing,20,Yes,5.7,No,New,Announced,"Jef Boedt, general manager (Cambodia) ""When we open our own local factory, we will save costs and become more profitable,""",,,http://www.phnompenhpost.com/business/eu-firm-sets-plan-local-rubber-factory,False,False,False,True,False,False,rubber_other_rubber_products_manufacturing,False,True,2017
404,2017-11-01,#291001,VTSIX Group,VTSIX Group,"VTSIX Group is a pharmaceutical company produces a wide range of oral pharmaceuticals, including tablets, capsules and syrups. The firm is based in India.",,,,,,,,Asia-Pacific,india,Not Specified,Not Specified,Not Specified,Asia-Pacific,cambodia,Phnom Penh,Not Specified,Phnom Penh,,,Pharmaceuticals,Medicinal & botanical,Life sciences,Manufacturing,25,No,17.3,Yes,New,Announced,,,,http://www.ppsez.com/en/news/activities-announcements/356-indian-pharmaceutical-plant-to-set-up-in-phnom-penh-sez-25-11-17.html,False,False,False,False,True,False,pharmaceuticals_medicinal_and_botanical_manufacturing,False,False,2017
418,2017-11-01,#291581,International Workplace Group (Regus),International Workplace Group (Regus),"International Workplace Group (IWG), together with its subsidiaries, provides office outsourcing services. IWG offers its services to property owners and investors, franchisees, brokers, and customers under the Regus, Regus Express, Spaces, Signature, and Open Office brands. Effective October 14, 2008, Regus Group plc became Regus plc. Regus plc was created as a holding company for Regus Group plc, to establish the company's headquarters in Luxembourg, relocating from the UK. The company was formerly known as Regus before rebranding to IWG in December 2016. In December 2016, the company relocated its head office from Luxembourg to Switzerland. IWG was established in 1989 and is based in Zug, Switzerland.",www.iwgplc.com,2916.29,8240.0,,1989.0,communications@iwgplc.com,+447584376533,Western Europe,switzerland,Switzerland,Zug,Zug,Asia-Pacific,cambodia,Phnom Penh,Not Specified,Phnom Penh,,,Real estate,Rental & leasing services,Professional Services,Business Services,8,Yes,1.9,Yes,New,Opened,,,,http://www.phnompenhpost.com/business/regus-opens-its-second-biz-centre,True,False,False,True,False,False,real_estate_rental_and_leasing_services_business_services,False,False,2017
427,2017-11-01,#297084,Mobile World Investment Corporation,Mobile World Investment Corporation,"Mobile World Investment Corporation engages in trading, repair, and maintenance of phones in Vietnam. It offers phones, information technology equipment, cameras, digital equipment, electronic equipment, household appliances, and related accessories. The company was founded in 2004 and is headquartered in Ho Chi Minh, Vietnam.",www.thegioididong.com,,,,2004.0,investor@thegioididong.com,+84838125960,Asia-Pacific,vietnam,Ho Chi Minh,Not Specified,Ho Chi Minh,Asia-Pacific,cambodia,Phnom Penh,Not Specified,Phnom Penh,,,Communications,Communications equipment,Retail Trade,Retail,35,Yes,2.0,Yes,New,Opened,,,,Factiva,False,False,False,False,True,True,communications_communications_equipment_retail,False,False,2017
435,2017-10-01,#287235,Asia Nutrition Technologies (ANT),DaChan Greatwall Group (DGC),"DaChan Greatwall Group, founded in Taiwan in 1958, is the largest agribusiness and animal husbandry company in Taiwan, and is also one of the top two food processing companies in Taiwan and one of the top three meat production companies in mainland China. The group has direct investments in mainland China, Taiwan, the Philippines, Vietnam, Malaysia and Indonesia, with over twenty operations in mainland China.In mainland China, Taiwan and other Asian markets, DaChan Greatwall Group is one of the leaders in food service, flour milling, animal feed, meat production and edible oils.",www.greatwall.com.tw,1182.7,,,,,,Asia-Pacific,taiwan,Tainan,Not Specified,Tainan,Asia-Pacific,cambodia,Phnom Penh,Not Specified,Phnom Penh,Phnom Penh Special Economic Zone,,Food & Beverages,Animal food,Agribusiness,Manufacturing,150,No,7.5,No,New,Announced,,,,http://www.phnompenhpost.com/business/ant-open-feed-mill-phnom-penh,False,False,False,False,True,False,food_and_beverages_animal_food_manufacturing,False,False,2017
446,2017-10-01,#287298,Rouse,Rouse,"Rouse is a leading global IP consultancy that provides the full range of Intellectual Property services. Its services include patent and trademark protection and management, commercialisation and global enforcement, and anti-counterfeiting programmes. Founded in 1990, it is headquartered in London, UK.",www.rouse.com,35.19,,,1990.0,london@rouse.com,+442075364100,Western Europe,united_kingdom,South East (UK),Greater London,London,Asia-Pacific,cambodia,Phnom Penh,Not Specified,Phnom Penh,,,Business services,Legal services,Professional Services,Business Services,5,No,0.8,Yes,New,Opened,"Luke Minford, chief executive officer, states: ""The ASEAN region represents a huge growth opportunity for us and our clients. Cambodia is one of the fastest growing economies in Asia and we know the demand for our services in the country is high  both from our existing client base, and from new and prospective clients.""",South-east Asia,,https://www.rouse.com/magazine/news/growth-in-asia-for-rouse-with-cambodia-office-opening/,False,False,False,True,False,False,business_services_legal_services_business_services,False,False,2017
450,2017-10-01,#286741,Damco,AP Moller - Maersk,"AP Moller - Maersk is a shipping firm. It is active in ocean and inland freight transportation and associated services, such as supply chain management and port operation. The company was established in 1904 and is headquartered in Copenhagen, Denmark.",www.maersk.com,61790.0,85380.0,,1904.0,,+4533635600,Western Europe,denmark,Capital Region of Denmark,Copenhagen Municipality,Copenhagen,Asia-Pacific,cambodia,Phnom Penh,Not Specified,Phnom Penh,,,Transportation & Warehousing,Freight/Distribution Services,Transportation & Warehousing,"Sales, Marketing & Support",30,Yes,51.6,Yes,Expansion,Opened,,,,http://www.damco.com/en/about-damco/press/press-releases/2017/damco-accelerates-growth-by-expanding-its-office-in-cambodia,False,False,False,True,False,False,transportation_and_warehousing_freightdistribution_services_sales_marketing_and_support,False,False,2017
453,2017-10-01,#297843,D.B. Group,D.B. Group,"D.B. Group provides air, sea, and road freight forwarding and logistics services in Italy and internationally. D.B. Group was formerly known as De Bortoli Trasporti and changed its name to D.B. Group in 2007. The company was founded in 1950 and is based in Montebelluna, Italy.",www.dbgroup.net,,0.0,,1950.0,dbgroupspa@dbgroup.net,+3904236131,Western Europe,italy,Veneto,Treviso,Montebelluna,Asia-Pacific,cambodia,Phnom Penh,Not Specified,Phnom Penh,,,Transportation & Warehousing,Freight/Distribution Services,Transportation & Warehousing,"Sales, Marketing & Support",30,Yes,51.6,Yes,New,Opened,,,,https://www.dbgroup.net/en/news/opening-new-branch-office-phnom-penh-cambodia,False,False,False,True,False,False,transportation_and_warehousing_freightdistribution_services_sales_marketing_and_support,False,False,2017
