Unnamed: 0,#,project_date,project_ref#,investing_company,parent_company,company_profile,website,revenue_(usd_m),headcount,r&d_expenditure_(usd_m),year_established,company_email,company_telephone,source_region,source_country,source_state,source_admin_region_(us_county),source_city,destination_region,destination_country,destination_state,destination_admin_region_(us_county),destination_city,free_zone,relocation,sector,sub_sector,cluster,activity,jobs_created,estimated,capital_investment,estimated.1,project_type,project_status,motive_description,markets_served,joint_venture_companies,source,source_is_th,destination_is_th,source_questionable,developed,emne,bordering_country,industry,natural_resource_ind,colonial_link,year
369,370,2017-12-01,#292416,BTE Leather Processing,Berke Textiles,"Berke Textiles, through its subsidiaries, is engaged in various forms of textile production and distribution. The company is headquartered in Bursa, Turkey.",,,,,,,,Emerging Europe,turkey,Turkey,Bursa,Bursa,Africa,ethiopia,Dire Dawa,Not Specified,Dire Dawa,,,Textiles,Leather & hide tanning and finishing,"Wood, Apparel & Related Products",Manufacturing,1000,No,80.0,No,New,Announced,,,,https://asokoinsight.com/news/turkeys-bte-leather-processing-to-set-up-a-leather-processing-plant-ethiopia?utm_source=Asoko%20Insight%20-%20Africa%20Business%20Digest&utm_campaign=775cdb1109-EMAIL_CAMPAIGN_2017_12_10&utm_medium=email&utm_term=0_7d19169446-775cdb1109-425664345,False,False,False,False,True,False,textiles_leather_and_hide_tanning_and_finishing_manufacturing,False,False,2017
391,392,2017-12-01,#293434,Uniqlo,Fast Retailing,"Fast Retailing is an apparel retailer that operates Uniqlo and other brands. The company was formerly known as Ogori Shoji and changed its name to Fast Retailing in September 1991. Fast Retailing is based in Yamaguchi, Japan, and was founded in 1949.",www.fastretailing.com,17162.92,55590.0,,1949.0,,+81839880333,Asia-Pacific,japan,Chugoku,Yamaguchi,Yamaguchi,Africa,ethiopia,Not Specified,Not Specified,Not Specified,,,Textiles,Clothing & clothing accessories,"Wood, Apparel & Related Products",Manufacturing,1909,Yes,113.4,Yes,New,Opened,,,,https://addisfortune.net/articles/japanese-firm-opens-first-plant-for-ethiopia-africa/,False,False,False,True,False,False,textiles_clothing_and_clothing_accessories_manufacturing,False,False,2017
393,394,2017-12-01,#292185,Sinotruk (China National Heavy Duty Truck Group) (CNHTC),Sinotruk (China National Heavy Duty Truck Group) (CNHTC),"Sinotruk (China National Heavy Duty Truck Group) (CNHTC) (Sinotruk Group) develops, manufactures, and sells trucks, special trucks, buses, special vehicles, engines and engine units, auto parts, and special chassis products. It sells its products in China, as well as exports internationally. CNHTC was formerly known as Jinan General Auto Works Plant and changed its name in 2001. The company was founded in 1956 and is based in Jinan, China.",www.cnhtc.com.cn,8249.2,24819.0,,1956.0,,+865315582551,Asia-Pacific,china,Shandong,Not Specified,Jinan,Africa,ethiopia,Not Specified,Not Specified,Not Specified,,,Automotive OEM,Heavy duty trucks,Transport Equipment,Manufacturing,53,Yes,9.08,No,Expansion,Opened,,,,http://www.chinatrucks.com/html/news/2017/1201/article_7589.html,False,False,False,False,True,False,automotive_oem_heavy_duty_trucks_manufacturing,False,False,2017
409,410,2017-11-01,#290765,Decathlon (Oxylane),Association Familiale Mulliez (AFM),"Association Familiale Mulliez (AFM) is the holding company for Adeon, Agapes, Auchan, and other firms. AFM was established in 1955 and is headquartered in France.",,,,,1955.0,contact@decathlon.com,+33810494949,Western Europe,france,Not Specified,Not Specified,Not Specified,Africa,ethiopia,Not Specified,Not Specified,Not Specified,,,Textiles,Clothing & clothing accessories,"Wood, Apparel & Related Products",Manufacturing,1909,Yes,113.4,Yes,New,Announced,,,,https://www.modaes.es/entorno/etiopia-se-refuerza-como-hub-textil-multiplica-por-ocho-la-inversion-extranjera-en-tres-anos.html,False,False,False,True,False,False,textiles_clothing_and_clothing_accessories_manufacturing,False,False,2017
413,414,2017-11-01,#290380,Sika Abyssinia Chemicals Manufacturing,Sika,"Sika is a speciality chemical company which develops and manufactures products for the construction industry. The company focuses on the production of systems and products for bonding, sealing, damping, reinforcing and protecting in the building and the motor vehicle industries. The company was established in 1910 and is headquartered in Baar, Switzerland.",www.sika.com,9720.89,25000.0,210.62,1910.0,,+251116182605,Western Europe,switzerland,Switzerland,Zug,Baar,Africa,ethiopia,Oromia,Not Specified,Alem Gena,,,Building materials,"Asphalt paving, roofing, & saturated materials",Construction,Manufacturing,18,No,7.9,Yes,New,Opened,,,,https://asokoinsight.com/news/sika-abyssinia-launches-new-manufacturing-plant-in-ethiopia,True,False,False,True,False,False,building_materials_asphalt_paving_roofing_and_saturated_materials_manufacturing,False,False,2017
428,429,2017-11-01,#290984,Wuxi No.1 Cotton Mill,Wuxi Guolian Development Group,"Wuxi Guolian Development Group operates in the home appliances, financial services, environmental protection and textiles sector. The company is based in Wuxi, China.",www.glgc.com.cn,,,,1997.0,,+8651084056403,Asia-Pacific,china,Jiangsu,Not Specified,Wuxi,Africa,ethiopia,Dire Dawa,Not Specified,Dire Dawa,,,Textiles,Textiles & Textile Mills,"Wood, Apparel & Related Products",Manufacturing,3500,No,220.0,No,New,Opened,,,,https://agenceecofin.com/industrie/2810-70534-une-entreprise-chinoise-du-textile-simplante-en-ethiopie-pour-doper-ses-exportations-internationales,False,False,False,False,True,False,textiles_textiles_and_textile_mills_manufacturing,False,False,2017
464,465,2017-09-01,#283946,Eugen Schmitt,Eugen Schmitt,"Eugen Schmitt engages in the production of ethanol using molasses. The company was established in 1933 and is headquartered in Weselberg, Germany.",,,,,1933.0,,+49633399120,Western Europe,germany,Rhineland-Palatinate,Rhineland-Palatinate,Weselberg,Africa,ethiopia,Addis Ababa,Not Specified,Addis Ababa,,,Chemicals,Basic chemicals,Physical Sciences,Manufacturing,69,Yes,51.0,No,New,Announced,,,Eugen Schmitt,,False,False,False,True,False,False,chemicals_basic_chemicals_manufacturing,False,False,2017
468,469,2017-09-01,#284915,Pungkook Corporation,Pungkook Corporation,"Pungkook Corporation was founded in 1949. The company's line of business includes the manufacturing of textile bags. It is headquartered in Seongnam, South Korea, with an additional facility in Ethiopia.",,,,,1949.0,,+82317321652,Asia-Pacific,south_korea,Gyeonggi,Not Specified,Seongnam,Africa,ethiopia,Amhara,Not Specified,Kombolcha,Kombolcha Industrial Park free zone,,Textiles,Apparel accessories & other apparel,"Wood, Apparel & Related Products",Manufacturing,1909,Yes,113.4,Yes,New,Opened,,,,,False,False,False,False,True,False,textiles_apparel_accessories_and_other_apparel_manufacturing,False,False,2017
472,473,2017-09-01,#284408,Aljazeera (Al Jazeera),Aljazeera (Al Jazeera),"Al Jazeera Media Network owns and operates Arabic and English news channels. The company was founded in 1996 and is based in Doha, Qatar. Al Jazeera Media Network operates as a subsidiary of Qatar Media Corporation.",www.aljazeera.net,1.37,,,1996.0,,+97444897449,Middle East,qatar,Qatar,Not Specified,Doha,Africa,ethiopia,Addis Ababa,Not Specified,Addis Ababa,,,Communications,Radio & TV broadcasting,Creative Industries,"Sales, Marketing & Support",37,Yes,4.7,Yes,New,Opened,"Mohamed Taha Tewekel, Director (Addis Ababa, Ethiopia), states: ""Ethiopia is a country which is growing fast economically and going through urban and cultural change. It is, therefore, a promising new market that offers good human and commercial prospects.""",,,,False,False,False,False,True,False,communications_radio_and_tv_broadcasting_sales_marketing_and_support,False,False,2017
478,479,2017-08-01,#282833,Trybus Group,Trybus Group,"Trybus Group operates as a designer, manufacturer, and distributor of apparel clothing for men. The company was established in 1972 and is headquartered in DeSoto, Texas, United States.",trybus.com,,,,1972.0,Trybus@trybus.com,+12143315248,North America,united_states,Texas,Dallas County (TX),DeSoto (TX),Africa,ethiopia,Amhara,Not Specified,Kombolcha,,,Textiles,Clothing & clothing accessories,"Wood, Apparel & Related Products",Manufacturing,1500,No,41.7,Yes,New,Announced,,,,,False,False,False,True,False,False,textiles_clothing_and_clothing_accessories_manufacturing,False,False,2017
