#,project_date,project_ref#,investing_company,parent_company,company_profile,website,revenue_(usd_m),headcount,r&d_expenditure_(usd_m),year_established,company_email,company_telephone,source_region,source_country,source_state,source_admin_region_(us_county),source_city,destination_region,destination_country,destination_state,destination_admin_region_(us_county),destination_city,free_zone,relocation,sector,sub_sector,cluster,activity,jobs_created,estimated,capital_investment,estimated.1,project_type,project_status,motive_description,markets_served,joint_venture_companies,source,developed,emne,bordering_country,industry,natural_resource_ind,colonial_link,year
368,2017-12-01,#292092,Kamigumi,Kamigumi,"Kamigumi provides integrated logistics services in Japan and internationally. The company offers general harbour transportation, warehousing, road transportation, light vehicle transportation, freight transportation and forwarding, customs brokerage, and shipping agency services, as well as temporary personnel placement services. It is also involved in the vessel and ship rental and leasing; engineering and construction contracting; heavy cargo transportation and installation; packing and packaging; warehouse and factory cargo handling. In addition, the company is engaged in the sale of ice; management and operation of marinas, hotels, grills, restaurants, and coffee shops. Further, it is involved in the management and operation of sports classes and sports clubs. Additionally, the company is engaged in the manufacture and sale of alcoholic liquors. Kamigumi was founded in 1867 and is headquartered in Kobe, Japan.",www.kamigumi.co.jp,2071.0,,,1867.0,,+81782715110,Asia-Pacific,japan,Kansai,Hyogo,Kobe,Asia-Pacific,myanmar,Rangoon (Yangon),Not Specified,Rangoon (Yangon),,,Transportation & Warehousing,Freight/Distribution Services,Transportation & Warehousing,"Logistics, Distribution & Transportation",151,Yes,78.5,Yes,New,Announced,,,"Kamigumi, Lluvia",https://www.kamigumi.co.jp/english/news/2017/000154.html,True,False,False,transportation_and_warehousing_freightdistribution_services_logistics_distribution_and_transportation,False,False,2017
369,2017-12-01,#292282,Golden Myanmar Business Exchange  (GMBX),Good Resources Holdings,"Good Resources Holdings, an investment holding company, provides financial services in Hong Kong and China. The company is also involved in the equity investment and acquisition of company businesses. In addition, it provides telecommunication and management services. It was formerly known as Good Fellow Resources Holdings and changed its name in June 2015. The company is headquartered in Hong Kong.",www.hkex109.hk,,,,,open@gmbx.asia,+85225878368,Asia-Pacific,hong_kong,Hong Kong,Hong Kong,Hong Kong,Asia-Pacific,myanmar,Not Specified,Not Specified,Not Specified,,,Communications,"Data processing, hosting, & related services",ICT & Electronics,ICT & Internet Infrastructure,2,Yes,5.0,No,New,Announced,,,,https://www.dealstreetasia.com/stories/myanmar-digest-gmbx-to-invest-5m-in-second-data-center-maybank-extends-900k-debt-to-hayman-87208/,False,True,False,communications_data_processing_hosting_and_related_services_ict_and_internet_infrastructure,False,False,2017
382,2017-12-01,#296660,SolarHome,SolarHome,"SolarHome Pte. Ltd. leases solar energy units for rural off-grid households in Southeast Asia. It installs integrated solar energy and appliance units in customers' homes, and offers 'rent-to-own' plans of energy service subscription. The company uses the microfinance structure, Pay-As-You-Go (PAYG), which enables users to pay a monthly fees comparable to their current expenditure on legacy energy sources. The company was founded in 2016 and is based in Singapore. The company also has operations in the Philippines, Cambodia, Myanmar, and Indonesia.",solar-home.asia/en,,,,2016.0,hq@solar-home.asia,+6568372871,Asia-Pacific,singapore,Singapore,Singapore,Singapore,Asia-Pacific,myanmar,Not Specified,Not Specified,Not Specified,,,Renewable energy,Solar electric power,Environmental Technology,"Sales, Marketing & Support",300,No,5.0,No,Expansion,Announced,,,,https://consult-myanmar.com/2018/01/06/solarhome-to-invest-5m-more-in-myanmar/,False,True,False,renewable_energy_solar_electric_power_sales_marketing_and_support,False,False,2017
385,2017-12-01,#292758,Ooredoo Myanmar,Ooredoo (Qatar Telecom),"Ooredoo, together with its subsidiaries, is a telecommunications company operating across the Middle East, North Africa and Southeast Asia. It provides mobile, fixed, broadband Internet and corporate managed services. The company operates in six segments, Qtel, Asiacell, Wataniya, Indosat, Nawras and Others. It offers domestic and international telecommunication services in Qatar, mobile telecommunication services in Iraq and mobile telephone and pager systems and services in Kuwait and other parts of the Middle East and North Africa. The company was formerly known as Qatar Telecom (Qtel) and changed its name to Ooredoo in March 2013. Ooredoo was founded in 1987 and is headquartered in Doha, Qatar.",www.ooredoo.qa,7930.494,18300.0,,1987.0,,+959970000234,Middle East,qatar,Qatar,Not Specified,Doha,Asia-Pacific,myanmar,Not Specified,Not Specified,Not Specified,,,Communications,Wireless telecommunication carriers,ICT & Electronics,ICT & Internet Infrastructure,120,Yes,66.8,Yes,New,Opened,,,,https://www.telecompaper.com/news/ooredoo-expands-4g-network-to-90-townships-across-myanmar--1225212,False,True,False,communications_wireless_telecommunication_carriers_ict_and_internet_infrastructure,False,False,2017
396,2017-12-01,#293133,Myanmar Strategic Holdings,Macan,"Macan participates in all stages of ventures in a range of markets and sectors. The company forms deep partnerships with entrepreneurs to build their firms by committing its time, network and resources. Macan was founded in 2012 and headquartered in Singapore.",www.macan.com.sg,,,,2012.0,,+6586223877,Asia-Pacific,singapore,Singapore,Singapore,Singapore,Asia-Pacific,myanmar,Rangoon (Yangon),Not Specified,Rangoon (Yangon),,,Business services,"Schools, colleges, universities, & professional schools",Creative Industries,Education & Training,30,Yes,15.3,Yes,New,Opened,"Enrico Cesenni. chief executive officer, states: ""Myanmar is currently ranked as one of the top countries in this global network in terms of student progress, and we aim to continue to build upon this by offering an unrivalled quality of education.""",,,http://www.morningstar.co.uk/uk/news/AN_1512997824090495300/myanmar-strategic-holdings-opens-2nd-wall-street-english-centre.aspx,False,True,False,business_services_schools_colleges_universities_and_professional_schools_education_and_training,False,False,2017
400,2017-12-01,#297857,F&N Investments,Fraser & Neave (Fraser and Neave),"Fraser and Neave, through its subsidiaries, operates in the food and beverage, property, publishing and printing industries. Additionally, it offers treasury and financial services, asset management, fund and property management and consultancy services. Fraser and Neave was founded in 1883 and is based in Singapore.",www.fraserandneave.com,1379.93,7700.0,,1883.0,,+6563189393,Asia-Pacific,singapore,Singapore,Singapore,Singapore,Asia-Pacific,myanmar,Not Specified,Not Specified,Not Specified,,,Food & Beverages,Breweries & distilleries,Agribusiness,Manufacturing,264,Yes,31.8,Yes,New,Opened,,,"Shwe Than Lwin Group, F&amp;N Investments",http://www.fraserandneave.com/docs/default-source/newsroom/2017/quarter-4/19dec17-incorporation-of-a-joint-venture-company-emerald-brewery-myanmar-ltd.pdf?sfvrsn=6,False,True,False,food_and_beverages_breweries_and_distilleries_manufacturing,False,False,2017
403,2017-11-01,#290090,Amata,Amata,"Amata Corporation is engaged in planning, developing, managing, and marketing integrated industrial estates in Thailand and internationally. The company operates through Industrial Estate Development, Utility Services, and Rental segments. It operates industrial parks; and produces and sells water products for industrial use. The company is also involved in treated water supply and waste water treatment services; and rental of office and factory buildings. Amata Corporation was founded in 1989 and is headquartered in Bangkok, Thailand.",www.amata.com,,,,1989.0,,+6627920000,Asia-Pacific,thailand,Central,Not Specified,Bangkok,Asia-Pacific,myanmar,Rangoon (Yangon),Not Specified,Rangoon (Yangon),,,Real estate,Commercial & institutional building construction,Construction,Construction,1259,Yes,161.4,Yes,New,Announced,,,,https://asia.nikkei.com/Business/Companies/Thai-industrial-park-developer-plumbs-expansion-on-the-Mekong?page=1,False,True,True,real_estate_commercial_and_institutional_building_construction_construction,False,False,2017
409,2017-11-01,#290217,LS Cable & System Asia,LS Cable,"LS Cable & System manufactures and sells cables. Its products are used for power transmission and distribution, wind power, rolling stock, marine and offshore, automotive, airport, OSP, metro network, in-building, U-City, and U-ibs solutions worldwide. LS Cable was founded in 1962 and is headquartered in Anyang, South Korea. It operates as a subsidiary of LS Group.",www.lscable.com,2856.24,2040.0,,2003.0,lscnsasia@lscnsasia.com,+82314280288,Asia-Pacific,south_korea,Seoul,Gyeonggi,Seoul,Asia-Pacific,myanmar,Rangoon (Yangon),Not Specified,Not Specified,Thilawa Special Economic Zone,,Electronic components,Communication & energy wires & cables,Construction,Manufacturing,626,Yes,105.1,Yes,New,Announced,,,"LS Cable &amp; System Asia, Goan Cable",http://m.pulsenews.co.kr/view.php?sc=30800021&year=2017&no=754563,False,True,False,electronic_components_communication_and_energy_wires_and_cables_manufacturing,False,False,2017
419,2017-11-01,#289969,Jotun Group,Jotun Group,"Jotun engages in the development, production, marketing and sale of various paint systems and products for surface treatments worldwide. Its customers include marine, offshore and energy industries as well as contractors of infrastructure and real estate developments. Jotun Group was established in 1926 and is headquartered in Sandefjord, Norway. As of March 2009, Orkla owns 42.5% of Jotun.",www.jotun.com,2100.74,,,1926.0,,+4733457000,Western Europe,norway,Norway,Vestfold,Sandefjord,Asia-Pacific,myanmar,Bago,Not Specified,Bago,Bago Foreign Industrial Zone,,Chemicals,"Paints, coatings, additives & adhesives",Industrial,Manufacturing,60,No,10.36,No,New,Opened,"Odd Gleditsch, chairman ""Myanmar is an attractive market for Jotun to venture into. With its strategic location in the centre of Asia's rapidly growing countries, abundant natural resources and a sizable 53 million population, Myanmar has all the right bases for strong economic growth,""",,,http://www.theedgemarkets.com/article/norwegian-paint-maker-jotun-invests-rm60m-new-factory-double-production-capacity,True,False,False,chemicals_paints_coatings_additives_and_adhesives_manufacturing,False,False,2017
421,2017-11-01,#290220,Damco,AP Moller - Maersk,"AP Moller - Maersk is a shipping firm. It is active in ocean and inland freight transportation and associated services, such as supply chain management and port operation. The company was established in 1904 and is headquartered in Copenhagen, Denmark.",www.maersk.com,61790.0,85380.0,,1904.0,,+4533635600,Western Europe,denmark,Capital Region of Denmark,Copenhagen Municipality,Copenhagen,Asia-Pacific,myanmar,Rangoon (Yangon),Not Specified,Rangoon (Yangon),,,Transportation & Warehousing,Freight/Distribution Services,"Wood, Apparel & Related Products","Logistics, Distribution & Transportation",151,Yes,78.5,Yes,New,Opened,,,,http://www.fbj-online.com/archives/20920,True,False,False,transportation_and_warehousing_freightdistribution_services_logistics_distribution_and_transportation,False,False,2017
