#,project_date,project_ref#,investing_company,parent_company,company_profile,website,revenue_(usd_m),headcount,r&d_expenditure_(usd_m),year_established,company_email,company_telephone,source_region,source_country,source_state,source_admin_region_(us_county),source_city,destination_region,destination_country,destination_state,destination_admin_region_(us_county),destination_city,free_zone,relocation,sector,sub_sector,cluster,activity,jobs_created,estimated,capital_investment,estimated.1,project_type,project_status,motive_description,markets_served,joint_venture_companies,source,developed,emne,bordering_country,industry,natural_resource_ind,colonial_link,year
5,2018-12-01,#319999,Deloitte Touche Tohmatsu,Deloitte Touche Tohmatsu,"Deloitte Touche Tohmatsu is a professional services firm which specialises in auditing, taxation, financial advisory, and other areas. The company was established in 1845 and is headquartered in NYC, New York, US.",www.deloitte.com,50200.0,0.0,,1845.0,,+12124891600,North America,united_states,New York,New York City County (NY),NYC (NY),Asia-Pacific,bangladesh,Dhaka,Not Specified,Dhaka,,,Business services,"Accounting, tax preparation, bookkeeping, & payroll services",Professional Services,Business Services,108,Yes,12.3,Yes,New,Opened,,,,https://www.thedailystar.net/business/news/deloitte-opens-office-dhaka-1667944,True,False,False,business_services_accounting_tax_preparation_bookkeeping_and_payroll_services_business_services,False,False,2018
9,2018-12-01,#319990,Setsuyo Astec,Mitsubishi Electric,"Mitsubishi Electric manufactures and sells electrical and electronic products and systems worldwide. It serves five primary sectors: energy and electric systems (power generation plants, monitoring systems, and escalators); appliances (air conditioning systems, televisions and monitors); information and communication systems (satellites and networking equipment); industrial automation systems (logic controllers, circuit breakers, and robotics); and electronic devices (semiconductors and interposers). The company is based in Tokyo, Japan, and operates as a subsidiary of Japan-based Mitsubishi.",www.mitsubishielectric.com,41287.24,0.0,,1921.0,,+81661300124,Asia-Pacific,japan,Kanto,Tokyo,Tokyo,Asia-Pacific,bangladesh,Dhaka,Not Specified,Dhaka,,,Industrial equipment,All other industrial machinery,Industrial,"Sales, Marketing & Support",15,Yes,3.6,Yes,New,Opened,,,,http://www.newagebd.net/article/57527/mitsubishis-arm-setsuyo-starts-journey-in-bangladesh,True,False,False,industrial_equipment_all_other_industrial_machinery_sales_marketing_and_support,False,False,2018
16,2018-12-01,#320495,Wartsila (Waertsilae)(Wartsila),Wartsila (Waertsilae)(Wartsila),"Wartsila is a global engineering company. It is operational through three principal divisions: ship power, which focuses on ship power solutions, including engines, generating sets, reduction gears, propulsion equipment, automation and power distribution systems, as well as sealing solutions for the marine industry; services, which offers solutions that support the customers throughout the lifecycle of their installations, such as engine services, automation services, operation and management, reconditioning services, training services and ship services, and power plants, which offers power plants for the decentralised power generation market, including solutions for baseload power generation, grid stability and peaking, industrial selfgeneration, as well as for the oil and gas industry. The company was founded in 1834 and is headquartered in Helsinki, Finland.",www.wartsila.com,5269.63,17305.0,,1834.0,,+358107090000,Western Europe,finland,Southern Finland (Etela-Suomen laani),Uusimaa (Uusimaa),Helsinki,Asia-Pacific,bangladesh,Dhaka,Not Specified,Dhaka,,,Engines & turbines,Engines & Turbines,ICT & Electronics,Technical Support Centre,330,Yes,10.5,Yes,New,Opened,,global,,http://ep-bd.com/view/details/article/MjkwMw%3D%3D/title?q=w%C3%A4rtsil%C3%A4+opens+power+plant+optimization+centre,True,False,False,engines_and_turbines_engines_and_turbines_technical_support_centre,False,False,2018
60,2018-10-01,#316845,Route Mobile Limited (Routesms Solutions Limited),Route Mobile Limited (Routesms Solutions Limited),"Route Mobile Limited is a global cloud communication platform service provider. Route Mobile Limited was formerly known as Routesms Solutions Limited and changed its name to Route Mobile Limited in March 2016. The company was founded in 2004 and is based in Mumbai, India.",www.routemobile.com,129.25,628.0,,2004.0,sales@routemobile.com,+912240337676,Asia-Pacific,india,Maharashtra,Not Specified,Mumbai,Asia-Pacific,bangladesh,Not Specified,Not Specified,Not Specified,,,Communications,Other telecommunications,ICT & Electronics,"Sales, Marketing & Support",21,Yes,8.3,Yes,New,Opened,,,,https://telecomreseller.com/2018/10/22/route-mobile-expands-its-global-footprint/,False,True,True,communications_other_telecommunications_sales_marketing_and_support,False,True,2018
77,2018-09-01,#315214,Fugro,Fugro,"Fugro collects, processes, and interprets geological data. The company collects data at sea, on land, and from the air of land areas and the sea bed. The data is used in building offshore oil platforms, tunnels, roads, pipelines, factories, and communications cables, and to explore oil, gas, and minerals. The company was founded in 1962 and is headquartered in Leidschendam, the Netherlands.",www.fugro.com,990.0,0.0,,1962.0,holding@fugro.com,+31703111422,Western Europe,netherlands,West Netherlands,Zuid-Holland,Leidschendam,Asia-Pacific,bangladesh,Dhaka,Not Specified,Dhaka,,,Business services,"Architectural, engineering, & related services",Industrial,Business Services,108,Yes,12.3,Yes,New,Opened,,,,http://today.thefinancialexpress.com.bd/print/fugro-opens-new-branch-office-in-bd-1537897280,True,False,False,business_services_architectural_engineering_and_related_services_business_services,False,False,2018
78,2018-09-01,#315179,HDC Hyundai Development Company,HDC Hyundai Development Company,"HDC Hyundai Development Company was created in 1986 through the merger between Korea City Development established in 1976 and Halla Construction founded in 1977. HDC Hyundai Development Company is the parent entity in HDC Group, which has subsidiaries in construction, petrochemicals, retail, property and financial management, healthcare, leisure, musical instrument production, sports and finance. The firm is based in Seoul, South Korea.",hdc-dvp.com/eng/index.do,,,,1986.0,,,Asia-Pacific,south_korea,Seoul,Not Specified,Seoul,Asia-Pacific,bangladesh,Not Specified,Not Specified,Not Specified,,,Real estate,Commercial & institutional building construction,Construction,"Sales, Marketing & Support",75,Yes,20.5,Yes,New,Announced,,,,https://pulsenews.co.kr/view.php?year=2018&no=581550,False,True,False,real_estate_commercial_and_institutional_building_construction_sales_marketing_and_support,False,False,2018
83,2018-09-01,#314928,Bioengineering AG,Bioengineering AG,"Bioengineering AG designs and manufactures production plants. It offers bioengineering products for amino acids, antibiotics, biomass (probiotics and starter cultures), bio-pesticides, biopolymers and lipids, enzymes, ethanol, flavors and fragrances, fruit juices, monoclonal antibodies, organic acids, peptides/proteins (blood factors, hormones, and growth factors), sugar derivates, vaccines, and vitamins. The company also provides bioequipment, including bioreactors and fermenters, up- and downstream equipment, probes/measuring systems, sampling and harvesting systems, agitation systems, aeration and exhaust systems, vessel accessories, pumps for sterile applications, components for sterile lines, fermenter accessories, and powder handling/mixing systems. It also designs and implements measurement and control engineering solutions for biologics, back up, and data logging and processing, as well as process analysis, management, optimization, and supervision applications. Bioengineering AG was founded in 1972 and is based in Wald, Switzerland.",bioengineering.ch,20.6166,0.0,,1972.0,info@bioengineering.ch,+41552568111,Western Europe,switzerland,Switzerland,Zurich,Waldenburg,Asia-Pacific,bangladesh,Dhaka,Not Specified,Not Specified,,,Industrial equipment,General purpose machinery,Life sciences,Manufacturing,204,Yes,25.3,Yes,New,Opened,,,"AMS Technologies , Bioengineering AG, Incepta Pharmaceuticals",https://www.thedailystar.net/business/news/plant-opens-savar-make-pharma-equipment-1640572,True,False,False,industrial_equipment_general_purpose_machinery_manufacturing,False,False,2018
91,2018-09-01,#315055,Norinco International Cooperation,China North Industries Group (NORINCO),"China North Industries Group, also known as China Ordnance Industries Group, manufactures weapons and equipment of land forces. It researches and develops high technological weapons of various areas such as precision striking, amphibious assaulting, long-range suppression, air defence anti-missile, information night vision, and high effective destruction, for the army, navy, and air force as well as arms for other services. It also researches and develops destruction and informationised equipment for the army, as well as heavy-duty equipment; special chemicals; and optoelectronic information technology. The company was founded in 1979 and is based in Beijing, China.",www.norinco.com,62212.87,276600.0,,1979.0,bfgj@norinco-intl.com,+(8610)01068137500,Asia-Pacific,china,Beijing Municipality,Not Specified,Beijing,Asia-Pacific,bangladesh,Barisal,Not Specified,Patuakhali,,,"Coal, oil & gas",Fossil fuel electric power,Energy,Electricity,25,Yes,152.0,No,New,Announced,,,"Norinco International Cooperation, Rural Power",https://www.yicaiglobal.com/news/china%E2%80%99s-norinco-build-1320-megawatt-coal-power-plant-bangladesh,False,True,False,coal_oil_and_gas_fossil_fuel_electric_power_electricity,False,False,2018
96,2018-09-01,#313363,Islamic Development Bank (IDB),Islamic Development Bank (IDB),"Islamic Development Bank, a financial institution, focuses on promoting the economic development and social progress of member countries and Muslim communities. The company's functions include participation in equity capital and granting loans for projects and enterprises, as well as establishing and operating special funds for assistance to Muslim communities in non-member countries. It also accepts deposits and mobilises financial resources, offers assistance in the promotion of foreign trade in capital goods among member countries, provides technical assistance to member countries and provides training facilities for personnel engaged in development activities in Muslim countries. The company was founded in 1973 and is headquartered in Jeddah, Saudi Arabia.",www.isdb.org,480.01,,,,info@isdb.org,+966126466019,Middle East,saudi_arabia,Makkah,Not Specified,Jeddah,Asia-Pacific,bangladesh,Dhaka,Not Specified,Dhaka,,,Financial services,Corporate & investment banking,Financial Services,Business Services,60,Yes,30.6,Yes,New,Opened,,,,https://www.salaamgateway.com/en/story/islamic_development_bank_expands_role_with_new_dhaka_hub-SALAAM10092018015532/,False,True,False,financial_services_corporate_and_investment_banking_business_services,False,False,2018
119,2018-08-01,#311578,Mondelez International,Mondelez International,"Mondelez International, together with its subsidiaries, manufactures and markets packaged food products worldwide. The company offers biscuits, including cookies, crackers, and salted snacks; confectionery products, such as chocolates, gums, and candies; and beverages comprising coffee, packaged juice drinks, and powdered beverages. Its primary brand portfolio includes Oreo, Nabisco, and LU branded biscuits; Milka and Cadbury branded chocolates; Trident branded gums; and Tang branded powdered beverages. The company was formerly known as Kraft Foods Group and changed its name to Mondelez International in October 2012. Mondelez International was established in 2000 and is based in Deerfield, Illinois, United States.",www.mondelezinternational.com,28720.0,79000.0,347.0,2000.0,,+18479434000,North America,united_states,Illinois,Lake County (IL),Deerfield (IL),Asia-Pacific,bangladesh,Dhaka,Not Specified,Dhaka,,,Food & Beverages,Sugar & confectionary products,Agribusiness,"Sales, Marketing & Support",45,Yes,19.0,Yes,New,Opened,,,,https://gulfnews.com/business/sectors/retail/us-snack-giant-launches-operations-in-bangladesh-1.2264908,True,False,False,food_and_beverages_sugar_and_confectionary_products_sales_marketing_and_support,False,False,2018
