#,project_date,project_ref#,investing_company,parent_company,company_profile,website,revenue_(usd_m),headcount,r&d_expenditure_(usd_m),year_established,company_email,company_telephone,source_region,source_country,source_state,source_admin_region_(us_county),source_city,destination_region,destination_country,destination_state,destination_admin_region_(us_county),destination_city,free_zone,relocation,sector,sub_sector,cluster,activity,jobs_created,estimated,capital_investment,estimated.1,project_type,project_status,motive_description,markets_served,joint_venture_companies,source,source_is_th,destination_is_th,source_questionable,developed,emne,bordering_country,industry,natural_resource_ind,colonial_link,year
7,2018-12-01,#320744,Telenor Myanmar,Telenor,"Telenor Group is a multinational telecommunications company. The firm offers fixed-line and mobile telephony, Internet, digital television, and IT services. It is one of the world's largest mobile telecommunications companies with operations in Scandinavia, eastern Europe and Asia. Telenor owns networks in 12 countries, with operations in 29 countries. The company was founded in 1970 and is based in Fornebu in Baerum, Norway.",www.telenor.com,12574.1,0.0,,1970.0,,,Western Europe,norway,Norway,Akershus,Not Specified,Asia-Pacific,myanmar,Not Specified,Not Specified,Not Specified,,,Communications,Wireless telecommunication carriers,ICT & Electronics,ICT & Internet Infrastructure,120,Yes,66.8,Yes,New,Opened,,,,https://www.telecompaper.com/news/telenor-expands-lte-coverage-to-90-of-myanmar-townships--1273792,False,False,False,True,False,False,communications_wireless_telecommunication_carriers_ict_and_internet_infrastructure,False,False,2018
10,2018-12-01,#321570,ABBA Aluminium,ABBA Aluminium,"ABBA Aluminium Co., Ltd. manufactures aluminium and aluminium extruded products. Its products include curtain wall, furnace, aluminium profiles, coating, industrial extrusion, and liquid coating. The company offers services, such as surface treatment, fabrication, aluminium plate processing, curtain wall assembly, and import billets and tensile testing. ABBA Aluminium Co., Ltd. was founded in 2005 and is based in Taoyuan County, Taiwan.",www.abba-tec.com.tw,11.01,200.0,,2005.0,,+88634970808,Asia-Pacific,taiwan,Taoyuan,Not Specified,Taoyuan,Asia-Pacific,myanmar,Rangoon (Yangon),Not Specified,Rangoon (Yangon),Thilawa Special Economic Zone,,Metals,Alumina & aluminium production and processing,Physical Sciences,Manufacturing,400,No,13.0,No,New,Opened,"Chen Pai-chin, chairman of ABBA Aluminium, stated that the country's young workforce was one of the reasons for establishing a base in Myanmar.  He added that the presence of a large number of ""ethnic Chinese people in Myanmar"" gives the country an edge over other CLMV economies (Cambodia, Laos, Myanmar and Vietnam) for manufacturers from Chinese-speaking countries.",,,https://www.mmtimes.com/news/taiwans-aluminium-maker-launches-13m-thilawa-plant.html,False,False,False,False,True,False,metals_alumina_and_aluminium_production_and_processing_manufacturing,False,False,2018
14,2018-12-01,#321278,Deutsche Risk,Deutsche Risk,"Deutsche Risk is involved in security and risk management. The company acts as a consultant to clients and advises them in areas such as security, innovations, digitalization and sustainable life-cycle management. The company was founded in 2017 and is based in Neu-Isenburg, Frankfurt, Germany.",www.deutsche-risk.com/,,,,2017.0,,,Western Europe,germany,Hesse,Darmstadt,Neu-Isenburg,Asia-Pacific,myanmar,Not Specified,Not Specified,Not Specified,,,Business services,Management consulting services,Professional Services,Business Services,11,Yes,12.3,Yes,New,Announced,,,,https://www.consultancy.asia/news/1750/security-consultancy-deutsche-risk-makes-moves-in-strategic-asian-expansion,False,False,False,True,False,False,business_services_management_consulting_services_business_services,False,False,2018
38,2018-11-01,#318396,Diethelm Keller Siber Hegner (DKSH),Diethelm Keller Holding,"Diethelm Keller Holding, along with its subsidiaries, engages in marketing, brand management, logistics and travel businesses. The company provides sourcing, marketing, sales, distribution and aftersales services. It also offers marketing, brand building and distribution services for medium-sized enterprises. Diethelm Keller Holding was founded in 2000 as a result of a merger between Diethelm and Edward Keller. The company is headquartered in Zurich, Switzerland.",www.diethelmkeller.com,12160.0,0.0,,2000.0,,+41443867272,Western Europe,switzerland,Switzerland,Zurich,Zurich,Asia-Pacific,myanmar,Mandalay,Not Specified,Mandalay,,,Transportation & Warehousing,Freight/Distribution Services,Industrial,"Logistics, Distribution & Transportation",151,Yes,78.5,Yes,New,Opened,,,,"http://dksh.com/mm-en/home/media/news?id=tag:xml.newsbox.ch,2018-11-16:1101.1342.digest",True,False,False,True,False,False,transportation_and_warehousing_freightdistribution_services_logistics_distribution_and_transportation,False,False,2018
39,2018-11-01,#319766,Osotspa,Osotspa,"Osotspa Company Limited develops, produces, and distributes speciality drinks that refresh the mind and body of consumers in Thailand and internationally. The company was founded in 1891 and is based in Bangkok, Thailand.",www.osotspa.com,,,,1891.0,talktous@osotspa.com,+66023511000,Asia-Pacific,thailand,Central,Not Specified,Bangkok,Asia-Pacific,myanmar,Rangoon (Yangon),Not Specified,Rangoon (Yangon),Thilawa Special Economic Zone,,Food & Beverages,Soft drinks & ice,Agribusiness,Manufacturing,232,Yes,73.2,No,New,Announced,,,"Osotspa, Loi Hein",http://www.nationmultimedia.com/detail/Corporate/30359406,False,False,False,False,True,True,food_and_beverages_soft_drinks_and_ice_manufacturing,False,False,2018
50,2018-10-01,#316263,Jardine Schindler Group,Jardine Matheson Holdings,"Jardine Matheson Holdings, through its subsidiaries, engages in engineering and construction, transport services, insurance broking, property investment and development, retailing, restaurants, luxury hotels, motor vehicles and related activities, financial services, heavy equipment, mining, and agribusinesses primarily in Greater China and south-east Asia. The company is based in Central, Hong Kong, and was founded in 1832.",www.jardines.com,90906.0,403000.0,,1832.0,jsg@hk.schindler.com,+85225168168,Asia-Pacific,hong_kong,Hong Kong,Hong Kong,Hong Kong,Asia-Pacific,myanmar,Rangoon (Yangon),Not Specified,Rangoon (Yangon),,,Industrial equipment,General purpose machinery,Industrial,Education & Training,10,No,4.2,Yes,New,Opened,"Wai Sam Wong, managing director of Myanmar Jardine Schindler Limited. ""The training centre demonstrates Schindler's long-term commitment to safety and quality to deliver outstanding customer service through professionally trained technicians. This is the key element in driving sustainable growth in Myanmar.""",,,https://en.prnasia.com/releases/apac/jardine-schindler-launched-its-sixth-training-centre-in-yangon-myanmar-225850.shtml,True,False,False,False,True,False,industrial_equipment_general_purpose_machinery_education_and_training,False,False,2018
82,2018-09-01,#313189,Modern Energy Management,Modern Energy Management,"Modern Energy Management delivers project lifecycle certainty to renewable energy financiers, developers, operators and investors working in rapidly expanding emerging markets. Its team of engineers and project managers develop, construct and deliver complex, profitable projects in remote, rapidly expanding international markets. The firm was founded in 2013 and is based in Singapore.",modernenergy.co.th,,,,2013.0,,,Asia-Pacific,singapore,Singapore,Singapore,Singapore,Asia-Pacific,myanmar,Not Specified,Not Specified,Not Specified,,,Renewable energy,Solar electric power,Environmental Technology,Electricity,31,Yes,168.3,Yes,New,Announced,,,,https://renewablesnow.com/news/modern-energy-management-to-take-part-in-130-mwp-pv-project-in-myanmar-625552/,True,False,False,False,True,False,renewable_energy_solar_electric_power_electricity,False,False,2018
86,2018-09-01,#313485,Daewoo Bus,Daewoo Bus,"Daewoo Bus manufactures and distributes buses and bus chassis. It offers complete bus units and self drive away. The company was founded in 2004 and is based in Bucheon, South Korea.",www.daewoobus.com,,,,2004.0,,,Asia-Pacific,south_korea,Gyeonggi,Not Specified,Bucheon,Asia-Pacific,myanmar,Not Specified,Not Specified,Not Specified,,,Automotive OEM,Automobiles,Transport Equipment,Manufacturing,200,No,5.0,No,New,Announced,,,"Daewoo Bus, Myanmar Trade Center",https://asia.nikkei.com/Business/Companies/South-Korea-s-Daewoo-Bus-to-assemble-in-Myanmar,False,False,False,False,True,False,automotive_oem_automobiles_manufacturing,False,False,2018
106,2018-08-01,#311397,Indian Oil Corporation (IOC),Indian Oil Corporation (IOC),"Indian Oil Corporation (IOC), together with its subsidiaries, engages in refining, transporting, and marketing petroleum products in India. It is also involved in the exploration and production of crude oil and gas. The company also exports its products serving the consumer, industrial and marine sectors. The company was founded in 1959 and is based in New Delhi, India.",www.iocl.com,67690.0,0.0,,1959.0,,+911126260000,Asia-Pacific,india,Delhi,Not Specified,New Delhi,Asia-Pacific,myanmar,Not Specified,Not Specified,Not Specified,,,"Coal, oil & gas","Natural, liquefied and compressed gas",Energy,"Logistics, Distribution & Transportation",90,Yes,147.0,Yes,New,Announced,,,,https://www.livemint.com/Politics/ckXNRlKEAXlkxEgx7cQ3nI/India-plans-to-set-up-LNG-terminal-in-Myanmar.html,False,False,False,False,True,True,coal_oil_and_gas_natural_liquefied_and_compressed_gas_logistics_distribution_and_transportation,False,False,2018
107,2018-08-01,#312092,Mitsubishi HC Capital (Mitsubishi UFJ Lease & Finance),Mitsubishi UFJ Financial Group (MUFG),"Mitsubishi UFJ Financial Group is a holding company for the Bank of Tokyo-Mitsubishi UFJ, Mitsubishi UFJ Trust and Banking Corporation, Mitsubishi UFJ Securities Holdings, Mitsubishi UFJ Morgan Stanley Securities, Mitsubishi UFJ NICOS and other companies engaged in a range of financial businesses. Its services include commercial banking, trust banking, securities, credit cards, consumer finance, asset management, leasing and fields of financial services. In May 2010, the company and Morgan Stanley formed two joint ventures in Japan by integrating respective Japanese securities companies engaged in investment banking and securities businesses. Mitsubishi UFJ Financial Group was founded in 2001 and is based in Tokyo, Japan.",www.mufg.jp,51410.0,0.0,,2001.0,,+81368653000,Asia-Pacific,japan,Kanto,Tokyo,Tokyo,Asia-Pacific,myanmar,Rangoon (Yangon),Not Specified,Rangoon (Yangon),,,Financial services,Corporate & investment banking,Financial Services,Business Services,60,Yes,30.6,Yes,New,Opened,"The Myanmarese economy continues to grow, backed by factors such as growth in the domestic market with a population of more than 51 million, and geographical advantages of being bordered by neighbouring countries such as China, India, and Thailand",,,http://www.lf.mufg.jp/english/investors/library/pressrelease/2018081401.pdf,False,False,False,True,False,False,financial_services_corporate_and_investment_banking_business_services,False,False,2018
