master_deal_no,dateann,tmanames,amanames,a_lockup_pct,a_postmerge_own_pct,aacount,advcount,afinancial,albofirm,alp,amv,aspv,attitude,attitude_change_yn,awk,buyside_hedge_fund_involv_yn,cha,compete,comsoughtt,dateannest,dateannorig,dateeff,debt_tndr,datefin,divest,division,datetender,dateuncon,datewith,form,hedge_fund_involv_yn,mv,alegcount,tlegcount,pct_cash,pct_other,pct_stk,pct_unknown,pctacq,pctown,phda,pheld,psought,psoughtown,psoughtt,pten,rd,recap,repurch,restruct,rumor,sbo,sfbor,sfbridge,sfcom,sfcorp,sfdebt,sffor,sfjunk,sflc,sfmez,sfpfd,sfrights,sfstaple,spin,splitoff,status,statuscode,stender,t_postmerge_own_pct,tacount,tender,tm,rankval,r_date,valbridge,valest,votecontrol,acusip,acquiror_sedol,aip,aipnames,aup,aupnames,aupnation,master_cusip,target_sedol,tip,tipnames,tup,tupnames,aupsedol,tupsedol,atf_mid_desc,ttf_mid_desc,atf_macro_desc,ttf_macro_desc,anation,anationcode,tnation,tnationcode,tpublic,apublic,tsicp,tticker,deal_value,entval,eqval,pr,salesltm,ebitltm,ptincltm,niltm,netass,tass,cashflow,bookvalue,commonequity,epsltm,pe,tfeetot,afeetot,feetot,c1day,c1wk,c4wk,rankvalsales,rankvaleb,rankvalcf,rankvalni,evsales,evebit,evcf,evni,eqvalsales,eqvalebit,eqvalcf,eqvalni,pmday,pmwk,pm4wk,abusinessl,tbusinessl,sftype,consid,considoff,considsought,destination_country,source_country,source_is_th,destination_is_th,source_questionable,developed,emne,bordering_country,industry,natural_resource_ind,colonial_link,year
3229537040,2018-02-15,Dhaka Stock Exchange Ltd,Natl Stock Exchange of India,,,,,No,No,No,,No,Friendly,No,No,No,Yes,Yes,,No,2018-02-15,,N,,No,No,,,,Acq. Part. Int.,No,,,,,100.0,,,,,,,25.0,25.0,,,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,N,No,N,No,No,No,Pending,P,No,,,No,No,87.0,2018-02-15,,No,,63787P,,63787P,Natl Stock Exchange of India,63787P,Natl Stock Exchange of India,India,25283X,,25283X,Dhaka Stock Exchange Ltd,25283X,Dhaka Stock Exchange Ltd,,,Brokerage,Brokerage,Financials,Financials,India,IN,Bangladesh,BG,Priv.,Priv.,6231,,87.0,347.423,347.423,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"National Stock Exchange of India Ltd is an exchange operator. It provides securities and commodity exchange services. The Company was founded in November 1992 and is located in Mumbai, India.","Dhaka Stock Exchange Ltd is an exchange operator. The Company was founded in April 1954 and is located in Dhaka, Bangladesh.",,,"Cash Only, Cash Only",Stock,bangladesh,india,False,False,False,False,True,True,brokerage,False,True,2018
3229540040,2018-02-15,Dhaka Stock Exchange Ltd,Investor Group,,,1.0,1.0,No,No,No,,No,Friendly,No,No,No,Yes,Yes,,No,2018-02-15,,N,,No,No,,,,Acq. Part. Int.,No,,1.0,,100.0,,,,,,,,25.0,25.0,,,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,N,No,N,No,No,No,Pending,P,No,,,No,No,119.0,2018-02-15,,No,,46145M,,46145M,Investor Group,46145M,Investor Group,China (Mainland),25283X,,25283X,Dhaka Stock Exchange Ltd,25283X,Dhaka Stock Exchange Ltd,,,Other Financials,Brokerage,Financials,Financials,China,CH,Bangladesh,BG,Priv.,Priv.,6231,,119.0,476.0,476.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Investor group,"Dhaka Stock Exchange Ltd is an exchange operator. The Company was founded in April 1954 and is located in Dhaka, Bangladesh.",,9.859 bil (USD 119 mil) cash/ 25% stake,"Cash, Cash Only",Stock,bangladesh,china,False,False,True,False,True,False,brokerage,False,False,2018
3241150040,2018-05-03,Santos Ltd-Bangladesh Expl,Ophir Energy PLC,,,2.0,2.0,No,No,No,,No,Friendly,No,No,No,No,No,,No,2018-05-03,2018-09-06,N,,No,Yes,,2018-09-06,,Acq. Part. Int.,No,,2.0,1.0,,,,,45.0,45.0,,,45.0,45.0,,,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,N,No,N,No,No,No,Completed,C,No,,,No,No,,2018-05-03,,No,,68446Y,B24CT19,68446Y,Ophir Energy PLC,68446Y,Ophir Energy PLC,United Kingdom,4H0271,,803021,Santos Ltd,803021,Santos Ltd,B24CT19,6776703,Oil & Gas,Oil & Gas,Energy and Power,Energy and Power,United Kingdom,UK,Bangladesh,BG,Sub.,Public,1311,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Ophir Energy PLC is engaged in the crude petroleum and natural gas services business. It is an oil and gas exploration and production company. It has offices in Malabo - Equatorial Guinea, Dar es Salaam and Mtwara-Tanzania and Dakar-Senegal. The Company was founded in February 2004 and is located in London, the United Kingdom.","Bangladesh exploration assets of Santos Ltd, located in Bangladesh. The assets includes Block SS-11,immediately adjacent to multi-Tcf producing fields across the border in Myanmar.",,,"Cash, Cash Only",Ownership Interest,bangladesh,united_kingdom,False,False,False,True,False,False,oil_and_gas,True,True,2018
3243438040,2018-04-26,bKash Ltd,Ant Small & Micro Finl Svcs,,,,,No,No,No,,No,Neutral,No,No,No,No,No,,No,2018-04-26,2018-04-26,N,2017-12-31,No,No,,2018-04-26,,Acq. Part. Int.,No,,1.0,1.0,,,,,10.0,10.0,,,10.0,10.0,,,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,N,No,N,No,No,No,Completed,C,No,,,No,No,,2018-04-26,,No,,5C3772,,5C3772,Ant Small & Micro Finl Svcs,5C3772,Ant Small & Micro Finl Svcs,China (Mainland),0F3263,,10376T,Brac Bank Ltd,10374V,BRAC International Holdings BV,,,Credit Institutions,Other Financials,Financials,Financials,China,CH,Bangladesh,BG,Sub.,Priv.,6099,,,,,,187.722,,10.0,5.9,37.3,337.4,,,65.964,,,,,,,,,,,,,,,,,,,,,,,,"Ant Small & Micro Financial Services Group Co Ltd is a provider of consumer lending services. The Company was founded in October 2014 and is located in Hangzhou, China. China. China.","bKash Ltd is a provider of financial transactions services. The company is located in Dhaka, Bangladesh.",,,Unspecified,Stock,bangladesh,china,False,False,False,False,True,False,other_financials,False,False,2018
3243441040,2018-04-26,bKash Ltd,Ant Small & Micro Finl Svcs,,,,,No,No,No,,No,Friendly,No,No,No,No,No,,No,2018-04-26,2018-04-26,N,2017-12-31,No,No,,2018-04-26,,Acq. Part. Int.,No,,1.0,2.0,,,,,10.0,20.0,10.0,10.0,10.0,20.0,,,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,N,No,N,No,No,No,Completed,C,No,,,No,No,,2018-04-26,,No,,5C3772,,5C3772,Ant Small & Micro Finl Svcs,5C3772,Ant Small & Micro Finl Svcs,China (Mainland),0F3263,,10376T,Brac Bank Ltd,10374V,BRAC International Holdings BV,,,Credit Institutions,Other Financials,Financials,Financials,China,CH,Bangladesh,BG,Sub.,Priv.,6099,,,,,,187.722,,10.0,5.9,37.3,337.4,,,65.964,,,,,,,,,,,,,,,,,,,,,,,,"Ant Small & Micro Financial Services Group Co Ltd is a provider of consumer lending services. The Company was founded in October 2014 and is located in Hangzhou, China. China.","bKash Ltd is a provider of financial transactions services. The company is located in Dhaka, Bangladesh.",,,"Cash Only, Cash Only",Stock,bangladesh,china,False,False,False,False,True,False,other_financials,False,False,2018
3265528040,2018-06-19,Rak Paints Pvt Ltd,Kansai Nerolac Paints Ltd,,,1.0,1.0,No,No,No,,No,Friendly,No,No,No,No,,,No,2018-06-19,2018-07-17,N,,No,No,,2018-07-17,,Acq. Maj. Int.,No,,,1.0,100.0,,,,55.0,55.0,,,55.0,55.0,,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,N,No,N,No,No,No,Completed,C,No,,,No,No,6.001,2018-06-19,,No,,48486Q,BWGW724,48460T,Kansai Paint Co Ltd,48460T,Kansai Paint Co Ltd,Japan,5H5334,,5H5334,Rak Paints Pvt Ltd,5H5334,Rak Paints Pvt Ltd,6483746,,Chemicals,Chemicals,Materials,Materials,India,IN,Bangladesh,BG,Priv.,Public,2851,,6.001,10.911,10.911,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Kansai Nerolac Paints Ltd is a manufacturer of paints and coatings. It also distributes paints and coatings. The Company offers a range of products, including decorative, Automotive Coatings and Performance coatings. The Company serves its customers through a network of four manufacturing facilities located at Lote in Maharashtra, Bawal in Haryana, Jainpur in Uttar Pradesh and Hosur in Tamil Nadu and over hundred strategically located depots. The Company has a joint venture in Nepal with Kansai Nepal, which caters to customers in Nepal. KNPL also has a joint venture in Sri Lanka with Capital Holdings Maharaja Group to set up the paint business in Sri Lanka. The Company was founded in 1920 and is located in Mumbai, India.","Rak Paints Pvt Ltd is a manufacturer of coatings. The Company is located in Dhaka, Bangladesh.",,An amended 504.1 mil (USD 6. 001 mil) cash/55% interest; originally 572.6 mil (USD 6. 817 mil) cash/55% interest,"Cash, Cash","Stock, Stock",bangladesh,japan,False,False,False,True,False,False,chemicals,False,False,2018
3274092040,2018-08-06,United Dhaka Tobacco Co Ltd,Japan Tobacco Inc,,,,,No,No,No,48873.255,No,Friendly,No,No,No,No,,,No,2018-08-06,2018-11-29,N,,No,No,,2018-11-29,,Merger,No,,2.0,1.0,,,,100.0,100.0,100.0,,,100.0,100.0,,,No,No,No,No,No,No,Yes,No,No,Yes,No,No,No,No,N,No,N,No,No,No,Completed,C,No,,,No,No,1479.792,2018-08-06,,Yes,,47110T,6474535,47110T,Japan Tobacco Inc,47110T,Japan Tobacco Inc,Japan,6H0024,,6H0024,United Dhaka Tobacco Co Ltd,6H0024,United Dhaka Tobacco Co Ltd,6474535,,Tobacco,Tobacco,Consumer Staples,Consumer Staples,Japan,JP,Bangladesh,BG,Priv.,Public,2111,,1479.792,1479.792,1479.792,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Japan Tobacco Inc, located in Minato-Ku Tokyo, Japan, is engaged in the tobacco business. The Company operates in four businesses. The Japanese Domestic Tobacco business is engaged in the manufacture and sale of cigarette products in Japan, the delivery of the Company's products, the wholesale and sale of imported tobacco products, as well as the manufacture of material products. The International Tobacco business manufactures and sells cigarette products overseas. The Pharmaceutical business is engaged in the research, development, manufacture, and sale of pharmaceutical products. The Food business beverages, processed foods, and seasonings. The Company was founded in 1985.","United Dhaka Tobacco Co Ltd is a manufacturer and seller of cigarettes. The Company is located in Dhaka, Bangladesh.","Corporate Funds, Borrowings",An estimated 124.3 bil (USD 1. 48 bil)/stock,"Cash Only, Cash Only",Stock,bangladesh,japan,False,False,False,True,False,False,tobacco,True,False,2018
3278744040,2018-08-17,Summit LNG Terminal Co Pvt Ltd,Mitsubishi Corp,,,,,No,No,No,,No,Friendly,No,No,No,No,,,No,2018-08-17,,N,,No,No,,,,Acq. Part. Int.,No,,1.0,,,,,,,,,,25.0,25.0,,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,N,No,N,No,No,No,Pending,P,No,,,No,No,,2018-08-17,,No,,606769,6596785,606769,Mitsubishi Corp,606769,Mitsubishi Corp,Japan,6H2641,,2H2418,Summit Corp Ltd,2H2418,Summit Corp Ltd,6596785,,Other Industrials,Oil & Gas,Industrials,Energy and Power,Japan,JP,Bangladesh,BG,Sub.,Public,4925,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Mitsubishi Corp, located in Chiyoda-Ku Tokyo, Japan, is engaged in manufacturer and wholesale business. The New Industrial Finance segment is involved in asset management, buyout investment, leasing and financing of real estate and others. The Energy segment provides petroleum products, crude oil, and others. The Metal segment offers steel products and others. The Machinery segment manufactures industrial machinery, automobiles, and others. The Chemical segment manufactures petrochemicals, fertilizers, foodstuff, drugs, and others. The Living Essentials segment provides distribution services. On August 19, 2013, M2 Communications reported that Mitsubishi Corp announced it had acquired from EDF Energies Nouvelles 50% interest in the companies. The Company was founded in 1950.",Summit LNG Terminal Co (Pvt) Ltd is a natural gas distributor. The Company is located in Bangladesh.,,,Unspecified,Stock,bangladesh,japan,False,False,False,True,False,False,oil_and_gas,True,False,2018
3291209040,2018-09-21,Mutual Trust Bank Ltd,Norfund SA,,,,,Yes,Yes,No,,No,Friendly,No,No,No,No,,,No,2018-09-21,,N,2018-06-30,No,No,,,,Acq. Part. Int.,No,266.051,,,100.0,,,,,,,,10.0,10.0,,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,N,No,N,No,No,No,Pending,P,No,,,No,No,18.63,2018-09-21,,No,,65636Q,,65636Q,Norfund SA,65636Q,Norfund SA,Norway,62842E,6671530,62842E,Mutual Trust Bank Ltd,62842E,Mutual Trust Bank Ltd,,6671530,Alternative Financial Investments,Banks,Financials,Financials,Norway,NO,Bangladesh,BG,Public,Priv.,6000,MTB,18.63,509.974,165.736,0.33,104.5,32.364,32.4,29.1,149.9,2570.2,37.73,0.3,149.897,0.0533,6.1,,,,0.46,0.485,0.464,1.784,5.761,4.942,6.413,4.88,15.758,13.516,17.541,1.586,5.121,4.393,5.701,-29.38,-33.01,-29.98,"Norfund SA is a financial sponsor. The firm seeks to invest in clean energy, financial institutions, green infrastructure, and scalable enterprises. It invests in companies that will contribute to economic and social development through: the direct and indirect jobs they provide, the goods and services they offer and the taxes they pay. The Company was founded in 1997 and is located in Oslo, Norway.","Mutual Trust Bank Ltd is a commercial bank. The Company operates through its Head Office at Dhaka and 95 branches. The Company carries out international business through a Global Network of Foreign Correspondent Banks. The Company was founded in 1999 and is located in Dhaka, Bangladesh.",,27.19 (USD 0.325) cash/sh ord,"Cash Only, Cash Only",Ordinary Share,bangladesh,norway,False,False,False,True,False,False,banks,False,False,2018
3294185040,2018-09-24,Shohoz Ltd,Investor Group,,,,,No,No,No,,No,Friendly,No,No,No,No,,,No,2018-09-24,2018-09-24,N,,No,No,,2018-09-24,,Acq. Part. Int.,No,,,,,100.0,,,,,,,,,,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,N,No,N,No,No,No,Completed,C,No,,,No,No,15.0,2018-09-24,,No,,46145M,,46145M,Investor Group,46145M,Investor Group,Singapore,7H0811,,7H0811,Shohoz Ltd,7H0811,Shohoz Ltd,,,Other Financials,E-commerce / B2B,Financials,High Technology,Singapore,SG,Bangladesh,BG,Priv.,Priv.,7375,,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Investor group,Shohoz Ltd is an internet portal operator. The Company is located in Bangladesh.,,,"Cash Only, Cash Only",Stock,bangladesh,singapore,True,False,True,False,True,False,e_commerce___b2b,False,False,2018
