master_deal_no,dateann,tmanames,amanames,a_lockup_pct,a_postmerge_own_pct,aacount,advcount,afinancial,albofirm,alp,amv,aspv,attitude,attitude_change_yn,awk,buyside_hedge_fund_involv_yn,cha,compete,comsoughtt,dateannest,dateannorig,dateeff,debt_tndr,datefin,divest,division,datetender,dateuncon,datewith,form,hedge_fund_involv_yn,mv,alegcount,tlegcount,pct_cash,pct_other,pct_stk,pct_unknown,pctacq,pctown,phda,pheld,psought,psoughtown,psoughtt,pten,rd,recap,repurch,restruct,rumor,sbo,sfbor,sfbridge,sfcom,sfcorp,sfdebt,sffor,sfjunk,sflc,sfmez,sfpfd,sfrights,sfstaple,spin,splitoff,status,statuscode,stender,t_postmerge_own_pct,tacount,tender,tm,rankval,r_date,valbridge,valest,votecontrol,acusip,acquiror_sedol,aip,aipnames,aup,aupnames,aupnation,master_cusip,target_sedol,tip,tipnames,tup,tupnames,aupsedol,tupsedol,atf_mid_desc,ttf_mid_desc,atf_macro_desc,ttf_macro_desc,anation,anationcode,tnation,tnationcode,tpublic,apublic,tsicp,tticker,deal_value,entval,eqval,pr,salesltm,ebitltm,ptincltm,niltm,netass,tass,cashflow,bookvalue,commonequity,epsltm,pe,tfeetot,afeetot,feetot,c1day,c1wk,c4wk,rankvalsales,rankvaleb,rankvalcf,rankvalni,evsales,evebit,evcf,evni,eqvalsales,eqvalebit,eqvalcf,eqvalni,pmday,pmwk,pm4wk,abusinessl,tbusinessl,sftype,consid,considoff,considsought,destination_country,source_country,source_is_th,destination_is_th,source_questionable,developed,emne,bordering_country,industry,natural_resource_ind,colonial_link,year
3212860040,2018-02-13,Chamroeun Microfinance Plc,RenetJapanGroup Inc,,,,,No,No,No,,No,Friendly,No,No,No,No,,,No,2018-02-13,2018-09-30,N,,No,No,,2018-09-30,,Acq. Maj. Int.,No,,,,,,,,90.0,90.0,,,90.0,90.0,,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,N,No,N,No,No,No,Completed,C,No,,,No,No,,2018-02-13,,No,,0F3391,BYVG2T7,0F3391,RenetJapanGroup Inc,0F3391,RenetJapanGroup Inc,Japan,2H2348,,2H2348,Chamroeun Microfinance Plc,2H2348,Chamroeun Microfinance Plc,BYVG2T7,,Other Retailing,Professional Services,Retail,Consumer Products and Services,Japan,JP,Cambodia,CB,Priv.,Public,7389,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Renet Japan Group Inc is a used consumer electronics operator via website NETOFF. The company also provides related delivery services. The company was founded in July 2000 and is located in Obu-Shi Aichi, Japan.","Chamroeun Microfinance Plc is a provider of business support services. The Company was founded in March 2006 and is located in Khan Chamkar Mon, Cambodia.",,,Unspecified,Stock,cambodia,japan,False,False,False,True,False,False,professional_services,False,False,2018
3215461040,2018-02-09,Apple Finance Plc,Sunny Bank Ltd,,,,,No,No,No,,No,Friendly,No,No,No,No,,,No,2018-02-09,2018-02-09,N,,No,No,,2018-02-09,,Merger,No,,,,,,,100.0,100.0,100.0,,,100.0,100.0,,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,N,No,N,No,No,No,Completed,C,No,,,No,No,1.2,2018-02-09,,No,,86751T,,86751T,Sunny Bank Ltd,86751T,Sunny Bank Ltd,Taiwan,2H4203,,2H4203,Apple Finance Plc,2H4203,Apple Finance Plc,,,Banks,Credit Institutions,Financials,Financials,Taiwan,TW,Cambodia,CB,Priv.,Priv.,6159,,1.2,1.2,1.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Sunny Bank Ltd is a commercial bank, headquartered in Taiwan.",Apple Finance Plc is a provider of consumer lending services. The Company was founded in July 2015 and is located in Cambodia.,,KHR 4.8 bil (USD 1.2 mil)/ stock,"Cash Only, Cash Only",Stock,cambodia,taiwan,False,False,False,False,True,False,credit_institutions,False,False,2018
3216336040,2018-02-14,Sy Ind Co Ltd,S.Y.Panel Co Ltd,,,,,No,No,No,,No,Friendly,No,No,No,No,,,No,2018-02-14,,N,,No,No,,,,Acq. Maj. Int.,No,,,,,100.0,,,,,26.6,26.6,46.9,73.4,,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,N,No,N,No,No,No,Pending,P,No,,,No,No,3.092,2018-02-14,,No,,1E5984,BYWP613,1E5984,S.Y.Panel Co Ltd,1E5984,S.Y.Panel Co Ltd,South Korea,2H4728,,1E5984,S.Y.Panel Co Ltd,1E5984,S.Y.Panel Co Ltd,BYWP613,BYWP613,Building/Construction & Engineering,Building/Construction & Engineering,Industrials,Industrials,South Korea,SK,Cambodia,CB,Priv.,Public,3448,,3.092,6.594,6.594,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"S.Y.Pancel Co Ltd, located in Suwon, South Korea, manufactures sandwich panels. The Company's product portfolio consists of flame resisting expanded poly-styrene (EPS) panels, glass-wool (G/W) panels, poly-urethane (PUR) panels including boltless types, general wall type, roof types and deck types, ESP panels, PUR boards and others which used as flashing subsidiary materials. The Company distributes its products to construction contractors, wholesale and retail dealers, resellers and others. The company was founded in 2000.",Sy Industry Co Ltd is a manufacturer of prefabricated metal buildings and components. The Company was founded in May 2017 and is located in Cambodia.,,,"Cash Only, Cash Only",Stock,cambodia,south_korea,False,False,False,False,True,False,building_construction_and_engineering,False,False,2018
3221898040,2018-03-08,Cambodian Labour Care PLC,Chan Kit Ying Catherine,,,,,No,No,No,,No,Friendly,No,No,No,No,,,No,2018-03-08,,N,,No,No,,,,Acq. Part. Int.,No,,,,,100.0,,,,,,,20.0,20.0,,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,N,No,N,No,No,No,Pending,P,No,,,No,No,9.23,2018-03-08,,No,,2H8065,,2H8065,Chan Kit Ying Catherine,2H8065,Chan Kit Ying Catherine,Hong Kong,2H8064,,5E1346,Gold-Finance Holdings Ltd,4E6724,Ningbo He Ze Run Industrial,,,Other Financials,Asset Management,Financials,Financials,Hong Kong,HK,Cambodia,CB,Sub.,Inv.,6282,,9.23,46.15,46.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Chan Kit Ying Catherine, located in Hong Kong, is an individual investor.","Cambodian Labour Care PLC is a provider of micro financial services. The Company is located in Phnom Penh, Cambodia.",,,"Cash, Cash Only",Stock,cambodia,hong_kong,True,False,False,False,True,False,asset_management,False,False,2018
3263154040,2018-07-02,"Raffles Hotel Le Royal,Raffles",Lodgis Hospity Hldg Pte Ltd,,,,,No,No,No,,No,Friendly,No,No,No,No,,,No,2018-07-02,2018-07-02,N,,Yes,No,,2018-07-02,,Acq. of Assets,No,,,,,,,,100.0,100.0,,,100.0,100.0,,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,N,No,N,No,No,No,Completed,C,No,,,No,No,,2018-07-02,,No,,5H4013,,93402J,Warburg Pincus LLC,93402J,Warburg Pincus LLC,United States,5H4028,,5H4023,Raffles Hotel Le Royal,49566V,Kingdom Holding Co,,B23Q042,Hotels and Lodging,Hotels and Lodging,Media and Entertainment,Media and Entertainment,Singapore,SG,Cambodia,CB,Priv.,J.V.,7011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Lodgis Hospitality Holdings Pte Ltd, located in Singapore, Singapore, owns and operates hotels and third-party managed properties. It also owns interest under the Fusion Hotels and Resorts operating company. The Company was founded in November 2016.","Raffles Hotel Le Royal, Raffles Grand Hotel d'Angkor are hotel operators. The Companies are located in Cambodia.",,,Unspecified,Assets,cambodia,united_states,False,False,False,True,False,False,hotels_and_lodging,False,False,2018
3264143040,2018-06-24,Visionfund Cambodia,Woori Bank Co Ltd,,,1.0,1.0,No,No,No,,No,Friendly,No,No,No,No,,,No,2018-06-24,2018-06-24,N,,Yes,No,,2018-06-24,,Acq. of Assets,No,,,,,,,,100.0,100.0,,,100.0,100.0,,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,N,No,N,No,No,No,Completed,C,No,,,No,No,,2018-06-24,,No,,98092Q,BGHWH98,98092Q,Woori Bank Co Ltd,98092Q,Woori Bank Co Ltd,South Korea,5H4549,,98092Q,Woori Bank Co Ltd,98092Q,Woori Bank Co Ltd,BGHWH98,BGHWH98,Banks,Credit Institutions,Financials,Financials,South Korea,SK,Cambodia,CB,Sub.,Public,6141,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Woori Bank Co Ltd (the Bank), located in Seoul, South Korea, is a Korea-based company mainly engaged in the provision of commercial banking services and consumer banking services. The Bank mainly provides deposit, loan, fund, foreign currency exchange, payment guarantee, securities investment, trust investment and credit card services. Its deposit service includes ordinary savings, welfare deposits, current deposits and others. Its loan service includes discount of bills, ordinary loans, secured by deposits and others. The Bank also provides Internet banking services, insurance services and others. It was founded in 1899.","Visionfund Cambodia is a provider of consumer lending services like loans. The Company is located in Phnom Penh, Cambodia.",,,Unspecified,Assets,cambodia,south_korea,False,False,False,False,True,False,credit_institutions,False,False,2018
3265331040,2018-05-18,Attwood Invest Grp Co Ltd,Kasen Intl Hldgs Ltd,,,,,No,No,No,,No,Friendly,No,No,No,No,,,No,2018-05-18,,N,,No,No,,,,Acq. Part. Int.,No,,,,,,,,,,,,,,,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,N,No,N,No,No,No,Pending,P,No,,,No,No,,2018-05-18,,No,,48543N,,48543N,Kasen Intl Hldgs Ltd,48543N,Kasen Intl Hldgs Ltd,China (Mainland),5H5168,,5H5168,Attwood Invest Grp Co Ltd,5H5168,Attwood Invest Grp Co Ltd,,,Home Furnishings,Other Real Estate,Consumer Products and Services,Real Estate,China,CH,Cambodia,CB,Priv.,Public,6552,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Kasen International Holdings Ltd is a manufacturer of upholstered household furniture. The Company is also a holding Company. in manufacture and wholesale of upholstered furniture such as sofa and sofa cut-and-sew, property development and tourism resort-related businesses, such as the operation of tourism resorts, the operation of hotels and restaurants, as well as the provision of travel-related services. The company was founded in 1995 and is located in Haining, China.","Attwood Investment Group Co Ltd is a provider of land subdivision services. The Company is located in Phnom Penh, Cambodia.",,,Unspecified,Stock,cambodia,china,False,False,False,False,True,False,other_real_estate,False,False,2018
3265525040,2018-05-17,ANZ Royal Bank (Cambodia) Ltd,J Trust Co Ltd,,,,,No,No,No,,No,Friendly,No,No,No,No,,,No,2018-05-17,2019-08-19,N,,Yes,No,,2019-08-19,,Acq. Maj. Int.,No,,,,,100.0,,,55.0,55.0,,,55.0,55.0,,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,N,No,N,No,No,No,Completed,C,No,,,No,No,82.4,2018-05-17,,No,,22686M,6126717,22686M,J Trust Co Ltd,22686M,J Trust Co Ltd,Japan,5H5325,,00565M,ANZ Funds Pty Ltd,52528,ANZ Banking Group Ltd,6126717,6065586,Credit Institutions,Banks,Financials,Financials,Japan,JP,Cambodia,CB,J.V.,Public,6000,,82.4,149.818,149.818,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"J Trust Co Ltd, located in Minato-Ku Tokyo, Japan, is a holding company. Finance segment involves the provision of loans for businesses and individuals, credit business, credit guarantee business and receivables purchase business. Real Estate segment is engaged in dealings in real estate, resale housing business and real estate agency business. Amusement segment is engaged in the sale of prizes for amusement equipment, and the operation of amusement stores and facilities. Overseas segment involves unsecured loan and deed loan in South Korea. The Others segment includes operation and management of computers, software development and guidance business. The Company was founded in 1977.","ANZ Royal Bank (Cambodia) Ltd is a commercial bank. The Company was founded in 2005 and is located in Phnom Penh, Cambodia.",,,"Cash Only, Cash Only",Stock,cambodia,japan,False,False,False,True,False,False,banks,False,False,2018
3266433040,2018-06-28,Ghim Li-Garment Mnfr Factory,Ghim Li Intl (S) Pte Ltd,,,,,No,No,No,,No,Friendly,No,No,No,No,,,No,2018-06-28,2019-07-15,N,,No,Yes,,2019-07-15,,Acq. of Assets,No,,,,,,,,100.0,100.0,,,,,,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,N,No,N,No,No,No,Completed,C,No,,,No,No,,2018-06-28,,No,,5H5275,,37887N,GLG Corp Ltd,7E1660,Ghim Li Group Pte Ltd,Singapore,5H5551,,5H5538,Ghim Li (Cambodia) Pte Ltd,5F6274,GLIT Holdings Pte Ltd,,,Asset Management,Textiles & Apparel,Financials,Consumer Staples,Singapore,SG,Cambodia,CB,Sub.,Sub.,2353,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ghim Li International (S) Pte Ltd is a provider of financial investment services. The Company was founded in 2003 and is located in Singapore.,"Garment manufacturing factory of Ghim Li (Cambodia) Pte Ltd, located in Cambodia.",,,Unspecified,Assets,cambodia,singapore,True,False,False,False,True,False,textiles_and_apparel,False,False,2018
3267470040,2018-06-08,Phnom Penh SEZ PLC,Finansia Syrus Securities PCL,,,,,No,No,No,,No,Friendly,No,No,No,No,,,No,2018-06-08,,N,,No,No,,,,Acq. Part. Int.,No,,,,,,,100.0,,,4.2,4.2,10.4,14.6,,,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,N,No,N,No,No,No,Pending,P,No,,,No,No,5.278,2018-06-08,,Yes,,Y2508Q,B0387Z4,Y2508Q,Finansia Syrus Securities PCL,Y2508Q,Finansia Syrus Securities PCL,Thailand,7F0951,,7F0951,Phnom Penh SEZ PLC,7F0951,Phnom Penh SEZ PLC,B0387Z4,,Brokerage,Other Real Estate,Financials,Real Estate,Thailand,TH,Cambodia,CB,Public,Public,6552,PPSP,5.278,,40.89,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Finansia Syrus Securities PCL is a securities brokerage company. The Company was founded in February 2004 and is located in Bangkok, Thailand.","Phnom Penh SEZ PLC is a provider of land subdivision services. It is involved in development of SEZ, supply & distribution of water, infrastructure maintenance, advisory service, sale & lease of industrial land and investment activities. The Company was founded in 2006 and is located in Phnom Penh, Cambodia.",Corporate Funds,An estimated KHR 2860.447 (USD 0.704)/new sh ord,"Cash Only, Cash Only",Newly Issued Ord Sh,cambodia,thailand,False,False,False,False,True,True,other_real_estate,False,False,2018
