master_deal_no,dateann,tmanames,amanames,a_lockup_pct,a_postmerge_own_pct,aacount,advcount,afinancial,albofirm,alp,amv,aspv,attitude,attitude_change_yn,awk,buyside_hedge_fund_involv_yn,cha,compete,comsoughtt,dateannest,dateannorig,dateeff,debt_tndr,datefin,divest,division,datetender,dateuncon,datewith,form,hedge_fund_involv_yn,mv,alegcount,tlegcount,pct_cash,pct_other,pct_stk,pct_unknown,pctacq,pctown,phda,pheld,psought,psoughtown,psoughtt,pten,rd,recap,repurch,restruct,rumor,sbo,sfbor,sfbridge,sfcom,sfcorp,sfdebt,sffor,sfjunk,sflc,sfmez,sfpfd,sfrights,sfstaple,spin,splitoff,status,statuscode,stender,t_postmerge_own_pct,tacount,tender,tm,rankval,r_date,valbridge,valest,votecontrol,acusip,acquiror_sedol,aip,aipnames,aup,aupnames,aupnation,master_cusip,target_sedol,tip,tipnames,tup,tupnames,aupsedol,tupsedol,atf_mid_desc,ttf_mid_desc,atf_macro_desc,ttf_macro_desc,anation,anationcode,tnation,tnationcode,tpublic,apublic,tsicp,tticker,deal_value,entval,eqval,pr,salesltm,ebitltm,ptincltm,niltm,netass,tass,cashflow,bookvalue,commonequity,epsltm,pe,tfeetot,afeetot,feetot,c1day,c1wk,c4wk,rankvalsales,rankvaleb,rankvalcf,rankvalni,evsales,evebit,evcf,evni,eqvalsales,eqvalebit,eqvalcf,eqvalni,pmday,pmwk,pm4wk,abusinessl,tbusinessl,sftype,consid,considoff,considsought,destination_country,source_country,source_is_th,destination_is_th,source_questionable,developed,emne,bordering_country,industry,natural_resource_ind,colonial_link,year
3221608040,2018-03-05,Digital Wave Money Myanmar Co,Yoma Strategic Investments Ltd,,,,,No,No,No,,No,Friendly,No,No,No,No,,,No,2018-03-05,2018-03-26,N,,No,No,,2018-03-26,,Acq. Part. Int.,No,,,,,100.0,,,34.0,34.0,,,34.0,34.0,,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,N,No,N,No,No,No,Completed,C,No,,,No,No,19.4,2018-03-05,,No,,98613K,,Y9729E,Yoma Strategic Hldg Ltd,Y9729E,Yoma Strategic Hldg Ltd,Singapore,2H7863,,9E8033,Telenor S E Asia Invest Pte,9E8033,Telenor S E Asia Invest Pte,B19ZPQ3,,Other Financials,Other Financials,Financials,Financials,Singapore,SG,Myanmar(Burma),BM,J.V.,Sub.,7322,,19.4,57.059,57.059,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Yoma Strategic Investments Ltd is a provider of financial investment services. The Company was founded in August 2004 and is located in Singapore, Singapore.","Digital Wave Money Myanmar Co Ltd is a provider of financial transactions services. It offers a wide range of mobile financial services such as digital money transfer and payment platform through its network of more than 20,000 agents across the country. The Company was founded in 2015 and is located in Yangon, Myanmar.",,,"Cash, Cash Only",Stock,myanmar,singapore,True,False,True,False,True,False,other_financials,False,False,2018
3235212040,2018-04-11,Oway Pte Ltd,Investor Group,,,,,No,No,No,,No,Friendly,No,No,No,No,,,No,2018-04-11,2018-04-11,N,,No,No,,2018-04-11,,Acq. Part. Int.,No,,,,,100.0,,,,,,,,,,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,N,No,N,No,No,No,Completed,C,No,,,No,No,14.7,2018-04-11,,No,,46145M,,46145M,Investor Group,46145M,Investor Group,Japan,3H6748,,3H6748,Oway Pte Ltd,3H6748,Oway Pte Ltd,,,Other Financials,Internet Software & Services,Financials,High Technology,Japan,JP,Myanmar(Burma),BM,Priv.,Priv.,7375,,14.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Investor group,"Oway Pte Ltd is an internet service provider. It is is engaged in online travel agency, mobile taxi hailing operator and mobile electronic payment services. The Company is located in Yangon, Myanmar.",,,"Cash Only, Cash Only",Stock,myanmar,japan,False,False,True,True,False,False,internet_software_and_services,False,False,2018
3237665040,2018-04-03,Sim CO LTD,Verisante Technology Inc,,,,,No,No,No,,No,Friendly,No,No,No,No,,,No,2018-04-03,,N,,No,No,,,,Merger,No,,,,,100.0,,,,,,,100.0,100.0,,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,N,No,N,No,No,No,Pending,P,No,,,No,No,7.645,2018-07-09,,No,,92346G,B4XKCQ4,92346G,Verisante Technology Inc,92346G,Verisante Technology Inc,Canada,3H8214,,3H8214,Sim CO LTD,3H8214,Sim CO LTD,B4XKCQ4,,Healthcare Equipment & Supplies,Building/Construction & Engineering,Healthcare,Industrials,Canada,CA,Myanmar(Burma),BM,Priv.,Public,1522,,7.645,8.097,8.097,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Verisante Technology Inc manufactures medical devices for the early diagnosis and treatment of skin cancer. The company primarily offers terahertz electromagnetic radiation chips that are used for spectroscopy, imaging, and sensing; and the spectrometer that may be used to generate and detect both pulse and signals. It has three areas of interest: terahertz medical imaging, terahertz biological spectroscopy and sensing, and terahertz monitoring and spectroscopy in the pharmaceutical industry. It was founded on 7 March 2006. The Company was founded in March 2006 and is located in Richmond, Canada.","Sim Co Ltd is an infrastructure development company. The Company is located in Yangon, Myanmar.",,,Ordinary Share,Stock,myanmar,canada,False,False,False,True,False,False,building_construction_and_engineering,False,False,2018
3255721040,2018-05-25,Access Myanmar Distn Co Ltd,Pernod Ricard SA,,,1.0,1.0,No,No,No,,No,Friendly,No,No,No,No,,,No,2018-05-25,2019-07-25,N,,No,No,,2019-07-25,,Acq. Part. Int.,No,,1.0,,,,,,34.0,34.0,,,34.0,34.0,,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,N,No,N,No,No,No,Completed,C,No,,,No,No,,2018-05-25,,No,,714264,4682329,714264,Pernod Ricard SA,714264,Pernod Ricard SA,France,4H8793,,Y9729E,Yoma Strategic Hldg Ltd,Y9729E,Yoma Strategic Hldg Ltd,4682329,B19ZPQ3,Food and Beverage,Food and Beverage,Consumer Staples,Consumer Staples,France,FR,Myanmar(Burma),BM,J.V.,Public,5182,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Pernod Ricard SA, located in Paris, Ile de France, produces, wholesales and retails distilled and blended liquors, wines and beverages. It operates through three segments: America, Europe and Asia/Rest of World (ROW). It is engaged in trading in finished or semi-finished products, by-products and substitutes generated by the main operations carried out in the distilleries or other industrial establishments of the same type. Its strategic brands include Absolut vodka, Chivas Regal, Ballantine's, Beefeater, Jameson, Kahlua, Ricard, Havana Club and Martell Cognac. Its local brands include Pastis 51, 100 Pipers, Ruavieja, Royal Stag and Wyborowa. The Company was founded in 1975. located in Paris, France.","Access Myanmar Distribution Co Ltd is an alcoholic beverages wholesaler. The Company was founded in February 2014 and is located in Pabedan, Myanmar.",,,Unspecified,Stock,myanmar,france,False,False,False,True,False,False,food_and_beverage,False,False,2018
3267449040,2018-05-07,Keb Hana Microfin Ltd,IFC,,,,,No,No,No,,No,Friendly,No,No,No,No,,,No,2018-05-07,,N,,No,No,,,,Acq. Part. Int.,No,,,,,100.0,,,,,,,,,,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,N,No,N,No,No,No,Pending,P,No,,,No,No,3.0,2018-05-07,,No,,450440,,459056,World Bank,459056,World Bank,United States,5H6261,,482466,KEB Hana Bank,40968V,Hana Financial Group Inc,,,Supranational,Credit Institutions,Government and Agencies,Financials,United States,US,Myanmar(Burma),BM,Sub.,Sub.,6141,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"International Finance Corp is a non-government agency. It is a supranational organization which focuses on sustainable economic growth issues in developing countries by providing financing to private sector investment, mobilizing capital in the international finance markets, and providing investment and advisory services to businesses and governments. The company is a private equity and venture capital subsidiary focused on the private sector in developing countries. The Organization has 182 member countries in the world. The Company was founded in July 1956 and is located in Washington, Wyoming.","Keb Hana Microfinance Ltd is a provider of consumer lending services. The Company is located in Yangon, Myanmar.",,,"Cash Only, Cash Only",Stock,myanmar,united_states,False,False,False,True,False,False,credit_institutions,False,False,2018
3269942040,2018-07-09,Linklusion Ltd,Shunsuke Sasaki,,,,,No,No,No,,No,Friendly,No,No,No,No,,,No,2018-07-09,2018-07-09,N,,No,No,,2018-07-09,,Acq. Part. Int.,No,,,,,100.0,,,,,,,,,,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,N,No,N,No,No,No,Completed,C,No,,,No,No,0.272,2018-07-09,,No,,9F5770,,9F5770,Shunsuke Sasaki,9F5770,Shunsuke Sasaki,Japan,5H7667,,5H7667,Linklusion Ltd,5H7667,Linklusion Ltd,,,Other Financials,IT Consulting & Services,Financials,High Technology,Japan,JP,Myanmar(Burma),BM,Priv.,Inv.,7373,,0.272,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Shunsuke Sasaki, located in Japan, is an individual investor.","Linklusion Ltd is a provider of computer systems design services. The Company was founded in April 2015 and is located in Yangon, Myanmar.",,,"Cash, Cash Only",Stock,myanmar,japan,False,False,False,True,False,False,it_consulting_and_services,False,False,2018
3275736040,2018-08-07,Golden TMH Telecom Co Ltd,HGC Global Communications Ltd,,,,,No,No,No,,No,Friendly,No,No,No,No,,,No,2018-08-07,2018-08-07,N,,No,No,,2018-08-07,,Acq. Maj. Int.,No,,,,,,,,,,,,,,,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,N,No,N,No,No,No,Completed,C,No,,,No,No,,2018-08-07,,No,,6H0966,,7F1097,Hutchison Global Commun,7A6217,I Squared Capital Advisors LLC,United States,6H0967,,6H0967,Golden TMH Telecom Co Ltd,6H0967,Golden TMH Telecom Co Ltd,,,Telecommunications Services,Telecommunications Services,Telecommunications,Telecommunications,Hong Kong,HK,Myanmar(Burma),BM,Priv.,Sub.,4812,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"HGC Global Communications Ltd, located in Hong Kong, is a fixed-line operator. The Company is an information and communications technology (ICT) solutions provider, offerings comprises fully-fledged telecoms, data center and broadband services. The Company is also a Wi-Fi service provider. The Company provides other operators with telecoms infrastructure, while acting as service provider to corporations and households alike. The Company owns extensive infrastructure in Hong Kong and overseas and offers products and services. The Company was founded in 1995.","Golden TMH Telecom Co Ltd is a wired telecommunications carrier. It is a communications and network service provider. The Company is located in Yangon, Myanmar.",,,Unspecified,Stock,myanmar,united_states,False,False,False,True,False,False,telecommunications_services,False,False,2018
3281263040,2018-08-22,First Fortune Intl Co Ltd,HG Metal Investments Pte Ltd,,,,,No,No,No,,No,Friendly,No,No,No,No,,,No,2018-08-23,2018-08-22,N,,Yes,No,,2018-08-22,,Acq. Maj. Int.,No,,,,,100.0,,,51.04,51.0,,,51.0,51.0,,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,N,No,N,No,No,No,Completed,C,No,,,No,No,0.096,2018-08-22,,No,,03383J,,03385K,HG Metal Manufacturing Ltd,03385K,HG Metal Manufacturing Ltd,Singapore,6H3894,,6H3880,Fortune Peak Invest Pte Ltd,6H3880,Fortune Peak Invest Pte Ltd,BYM65D1,,Metals & Mining,Building/Construction & Engineering,Materials,Industrials,Singapore,SG,Myanmar(Burma),BM,J.V.,Sub.,1791,,0.096,0.188,0.188,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"HG Metal Investments Pte Ltd, located in Singapore, manufactures and wholesale steel products. The Company was founded in June 2004.",First Fortune International Co Ltd is a structural steel and precast concrete contractor. It is engage in the business of providing cut & bend and fabrication services of steel rebar and sales of steel products to main contractors and sub-contractors. The Company is located in Myanmar.,,,"Cash, Cash Only",Stock,myanmar,singapore,True,False,False,False,True,False,building_construction_and_engineering,False,False,2018
3294954040,2018-09-27,Pyramid Solutions Ltd,Investor Group,,,,,No,No,No,,No,Friendly,No,No,No,No,,,No,2018-09-27,2018-09-27,N,,No,No,,2018-09-27,,Acq. of Assets,No,,,,,,,,100.0,100.0,,,100.0,100.0,,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,N,No,N,No,No,No,Completed,C,No,,,No,No,,2018-09-27,,No,,46145M,,46145M,Investor Group,46145M,Investor Group,Switzerland,7H3240,,7H3240,Pyramid Solutions Ltd,7H3240,Pyramid Solutions Ltd,,,Other Financials,Employment Services,Financials,Consumer Products and Services,Switzerland,SZ,Myanmar(Burma),BM,Priv.,Priv.,7361,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Investor group,"Pyramid Solutions Ltd is a provider of human resources and executive search consulting services. It owns and operates online portal MyJobs.com.mm. The Company is located in Yangon, Myanmar.",,,Unspecified,Assets,myanmar,switzerland,True,False,True,True,False,False,employment_services,False,False,2018
3302522040,2018-10-24,L&M Mayson Co Ltd,Lotte Confectionery Co Ltd,,,1.0,1.0,No,No,No,,No,Friendly,No,No,No,No,,,No,2018-10-24,2019-02-01,N,,No,No,,2019-02-01,,Acq. Maj. Int.,No,,1.0,1.0,,100.0,,,80.0,80.0,,,80.0,80.0,,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,N,No,N,No,No,No,Completed,C,No,,,No,No,67.749,2018-10-24,,No,,9F2585,BZ60JT0,9F2585,Lotte Confectionery Co Ltd,9F2585,Lotte Confectionery Co Ltd,South Korea,7H7609,,7H7609,L&M Mayson Co Ltd,7H7609,L&M Mayson Co Ltd,BZ60JT0,,Food and Beverage,Food and Beverage,Consumer Staples,Consumer Staples,South Korea,SK,Myanmar(Burma),BM,Priv.,Public,2051,,67.749,84.686,84.686,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Lotte Confectionery Co Ltd is a producer and supplier of chocolate and confectionery. The Companys product includes dried confections, such as chewing gums, candies, biscuits, chocolates, pies, snacks and others; ice creams, such as bar, cone, cup, pencil ice creams; health foods and breads. The Company provides its products under the brand names of Flavono, Pepero, Cereals, Chic Choc, Moms Homemade Pie, Chocopie, World Cone, Mon Cher, Squid Peanuts, Cheetos, Anytime, Jellying Jellying, Garlic Soboro and others. The Company was founded in October 2017 and is located in Seoul, South Korea.","L&M Mayson Co Ltd is a bakery firm, which produces and supplies bread, cookies and pies at three of its plants located in Myanmar, with 12 retailing outlets and 10 logistic centers. The Company is located in Yangon, Myanmar.",,,"Cash Only, Cash Only",Stock,myanmar,south_korea,False,False,False,False,True,False,food_and_beverage,False,False,2018
