master_deal_no,dateann,tmanames,amanames,a_lockup_pct,a_postmerge_own_pct,aacount,advcount,afinancial,albofirm,alp,amv,aspv,attitude,attitude_change_yn,awk,buyside_hedge_fund_involv_yn,cha,compete,comsoughtt,dateannest,dateannorig,dateeff,debt_tndr,datefin,divest,division,datetender,dateuncon,datewith,form,hedge_fund_involv_yn,mv,alegcount,tlegcount,pct_cash,pct_other,pct_stk,pct_unknown,pctacq,pctown,phda,pheld,psought,psoughtown,psoughtt,pten,rd,recap,repurch,restruct,rumor,sbo,sfbor,sfbridge,sfcom,sfcorp,sfdebt,sffor,sfjunk,sflc,sfmez,sfpfd,sfrights,sfstaple,spin,splitoff,status,statuscode,stender,t_postmerge_own_pct,tacount,tender,tm,rankval,r_date,valbridge,valest,votecontrol,acusip,acquiror_sedol,aip,aipnames,aup,aupnames,aupnation,master_cusip,target_sedol,tip,tipnames,tup,tupnames,aupsedol,tupsedol,atf_mid_desc,ttf_mid_desc,atf_macro_desc,ttf_macro_desc,anation,anationcode,tnation,tnationcode,tpublic,apublic,tsicp,tticker,deal_value,entval,eqval,pr,salesltm,ebitltm,ptincltm,niltm,netass,tass,cashflow,bookvalue,commonequity,epsltm,pe,tfeetot,afeetot,feetot,c1day,c1wk,c4wk,rankvalsales,rankvaleb,rankvalcf,rankvalni,evsales,evebit,evcf,evni,eqvalsales,eqvalebit,eqvalcf,eqvalni,pmday,pmwk,pm4wk,abusinessl,tbusinessl,sftype,consid,considoff,considsought,destination_country,source_country,source_is_th,destination_is_th,source_questionable,developed,emne,bordering_country,industry,natural_resource_ind,colonial_link
2474657040,2018-07-02,Soco Cabinda Ltd,Investor Group,,,,,No,No,No,,No,Friendly,No,No,No,No,,,No,2018-07-02,2018-10-05,N,,Yes,No,,2018-10-05,,Merger,No,,,,100.0,,,,80.0,80.0,,,80.0,80.0,,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,N,No,N,No,No,No,Completed,C,No,,,No,No,5.0,2018-07-02,,No,,46145M,,46145M,Investor Group,46145M,Investor Group,United States,0A7709,,83450M,SOCO International PLC,83450M,SOCO International PLC,,B572ZV9,Other Financials,Oil & Gas,Financials,Energy and Power,United States,US,Angola,AN,Sub.,Priv.,1311,,5.0,6.275,6.275,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Investor group,Soco Cabinda Ltd is engaged in the crude petroleum and natural gas services business. The Company is located in Angola.,,AON 1.245 bil (USD 5 mil) cash/80% interest,"Cash Only, Cash Only",Stock,angola,united_states,False,False,True,True,False,False,oil_and_gas,True,False
2617829040,2017-07-20,Galana Raffinerie Terminal SA,Rubis SCA,,,,,No,No,No,10445.316,No,Friendly,No,No,No,No,,,No,2014-02-21,2017-07-20,N,,No,No,,2017-07-20,,Acq. of Assets,No,,,1.0,,,,,100.0,100.0,,,100.0,100.0,,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,N,No,N,No,No,No,Completed,C,No,,,No,No,,2017-07-20,,No,,78114T,BDT88L2,78114T,Rubis SCA,78114T,Rubis SCA,France,9A4067,,9A4067,Galana Raffinerie Terminal SA,9A4067,Galana Raffinerie Terminal SA,BDT88L2,,Oil & Gas,Pipelines,Energy and Power,Energy and Power,France,FR,Madagascar,MG,Priv.,Public,4613,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Rubis SCA is a petroleum and petroleum products wholesaler. It specializes in wholesaling liquefied petroleum gas (LPG), propane and butane gas under the Vitogaz brand name. It also provides bulk liquid, oil and gas, chemicals, foodstuff and fertilizer storage services. It is present in 3 geographic zones: European Area, Caribbean & American Center Area and African area. In July 2014, the Company acquired BP PLC's LPG business in Portugal. The Company was founded in 1990 and is located in Paris, France.","Galana Raffinerie Terminal SA, located in Tanatave, Madagascar, provides oil transmission services. It was founded in 1991.",,,Unspecified,Assets,madagascar,france,False,False,False,True,False,False,pipelines,False,True
2624171040,2017-03-09,Mozambique Rovuma Venture Spa,Exxon Mobil Corp,,,,1.0,No,No,No,339350.691,No,Friendly,No,No,No,No,,,No,2014-03-27,2017-12-13,N,2016-12-31,No,No,,2017-12-13,,Acq. Part. Int.,No,,2.0,4.0,100.0,,,,35.7,35.7,,,35.7,35.7,,,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,N,No,N,No,No,No,Completed,C,No,,1.0,No,No,2800.0,2017-03-09,,Yes,,30231G,2326618,30231G,Exxon Mobil Corp,30231G,Exxon Mobil Corp,United States,2A8061,,16940E,CNPC,16940E,CNPC,2326618,,Petrochemicals,Oil & Gas,Energy and Power,Energy and Power,United States,US,Mozambique,MZ,J.V.,Public,1311,,2800.0,7501.067,7519.399,,2.358,-40.981,-32.7,-26.5,201.7,948.1,-39.874,,201.668,,,,,,,,,3180.762,,,,3180.762,,,,3188.536,,,,,,,"Exxon Mobil Corp, located in Spring, Texas, is an international energy and petrochemical company. The Company's primary businesses include exploration for, and production of, crude oil and natural gas; manufacture, trade, transport and sale of crude oil, natural gas, petroleum products, petrochemicals, and a variety of specialty products; and pursuit of lower-emission business opportunities including carbon capture and storage, hydrogen, lower-emission fuels, and lithium. Its segments include Upstream, Energy Products, Chemical Products, and Specialty Products. The Upstream segment explores for and produces crude oil and natural gas. The Energy Products, Chemical Products, and Specialty Products segments manufactures and sells petroleum products and petrochemicals. Energy Products include fuels, aromatics, and catalysts and licensing. Its Chemical Products consists of olefins, polyolefins, and intermediates. Its Specialty Products include finished lubricants, synthetics, and elastomers and resins. The Company was founded on November 30, 1999.","Mozambique Rovuma Venture Spa is engaged in the crude petroleum and natural gas services business. The Company is located in Maputo, Mozambique. Company is located in Maputo, Mozambique.",,An estimated MZN 191.348 bil (USD 2.8 bil) cash/35.7% stake,"Cash Only, Cash Only",Stock,mozambique,united_states,False,False,False,True,False,False,oil_and_gas,True,False
2970312040,2017-03-14,Prasac MicroFin Institution,Investor Group,,,,,No,No,No,,No,Friendly,No,No,No,No,,,No,2016-06-07,2017-03-14,N,,No,No,,2017-03-14,,Acq. Maj. Int.,No,,,1.0,100.0,,,,68.75,91.0,22.3,22.3,68.8,91.0,,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,N,No,N,No,No,No,Completed,C,No,,,No,No,264.0,2017-03-14,,Yes,,46145M,,46145M,Investor Group,46145M,Investor Group,Singapore,9C1380,,1H0101,LOLC Finance PLC,51589R,Lanka Orix Leasing Co PLC,,6505350,Other Financials,Credit Institutions,Financials,Financials,Singapore,SG,Cambodia,CB,Sub.,Priv.,6159,,264.0,384.0,384.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Investor group,"Prasac Microfinance Institution Ltd is a provider of consumer lending services. The Company was founded in August 2004 and is located in Phnom Penh, Cambodia.",,An estimated KHR 1051.793 bil (USD 264 mil) cash/68.75% interest,"Cash Only, Cash Only",Stock,cambodia,singapore,True,False,True,False,True,False,credit_institutions,False,False
3009677040,2017-01-27,Crane Bank Ltd,Dfcu Bank Ltd,,,,,No,No,No,,No,Friendly,No,No,No,No,,,No,2016-09-16,2017-01-31,N,2014-12-31,Yes,No,,2017-01-31,,Acq. of Assets,No,,1.0,,,,,,100.0,100.0,,,100.0,100.0,,,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,N,No,N,No,No,No,Completed,C,No,,,No,No,,2017-01-27,,No,,2F5139,,2F8390,Arise BV,2F8390,Arise BV,Netherlands,22435N,,78168W,Ruparelia Group,78168W,Ruparelia Group,,,Banks,Banks,Financials,Financials,Uganda,UG,Uganda,UG,Sub.,Sub.,6000,,,,,,68.569,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Dfcu Bank Ltd is a commercial bank. The Company is located in Kampala, Uganda.","Crane Bank Ltd is a commercial bank. The Company is located in Kampala, Uganda.",,,Unspecified,Assets,uganda,netherlands,True,False,True,True,False,False,banks,False,False
3058898040,2017-01-08,Hua Xing Global Ltd,Next Horizon Investments Ltd,,,,,No,No,No,,No,Friendly,No,No,No,No,,,No,2017-01-08,2017-01-09,N,,No,No,,2017-01-09,,Merger,No,,,,,100.0,,,100.0,100.0,,,100.0,100.0,,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,N,No,N,No,No,No,Completed,C,No,,,No,No,17.347,2017-01-08,,No,,2E5642,,1F9373,Gilberta Holdings Ltd,17446X,China Polymetallic Mining,China (Mainland),1F9371,,1F9371,Hua Xing Global Ltd,17446X,Hua Xing Global Ltd,BMCHCW8,,Other Financials,Metals & Mining,Financials,Materials,Hong Kong,HK,Myanmar(Burma),BM,Priv.,Sub.,1044,,17.347,17.347,17.347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Next Horizon Investments Ltd is a provider of financial investment services. The Company is located in Hong Kong.,Hua Xing Global Ltd is a silver ore mine operator. The Company is located in Myanmar.,,,"Cash, Cash Only",Stock,myanmar,china,False,False,False,False,True,True,metals_and_mining,True,False
3059731040,2017-01-11,Tolaro Global SARL,Moringa SCA SICAR,,,1.0,1.0,No,No,No,,No,Friendly,No,No,No,No,,,No,2017-01-11,2017-01-11,N,,No,No,,2017-01-11,,Acq. Part. Int.,No,,,,,,,,,,,,,,,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,N,No,N,No,No,No,Completed,C,No,,,No,No,,2017-01-11,,No,,5C7851,,26761F,Edmond De Rothschild Invest,8E2037,Edmond de Rothschild Hldg SA,Switzerland,2F0680,,2F0680,Tolaro Global SARL,2F0680,Tolaro Global SARL,,,Other Financials,Agriculture & Livestock,Financials,Consumer Staples,Luxembourg,LX,Benin,BN,Priv.,Sub.,173,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Moringa SCA SICAR, is a private equity fund, led by Edmond de Rothschild Investment Partners SAS. It invests in agricultural enterprises located in Latin America and Sub-Saharan Africa. It was founded in 2010 and is located in Luxembourg, Luxembourg.","Tolaro Global SARL is a cashew farming establishment. The Company was founded in 2010 and is located in Parakou, Benin.",,,Unspecified,Stock,benin,switzerland,True,False,False,True,False,False,agriculture_and_livestock,True,False
3060233040,2017-04-04,Air Madagascar,Air Austral SA,,,,,No,No,No,,No,Friendly,No,No,No,No,,,No,2016-04-27,2017-10-10,N,2016-12-31,No,No,,2017-10-10,,Acq. Part. Int.,No,,,,,,,,49.0,49.0,,,49.0,49.0,,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,N,No,N,No,No,No,Completed,C,No,,,No,No,,2017-04-04,,No,,00647H,,1E8075,Sematra SEML,1E8075,Sematra SEML,France,00957T,,4K5400,CNAPS Madagascar,57648Q,Republic Of Madagascar,,,Transportation & Infrastructure,Transportation & Infrastructure,Industrials,Industrials,France,FR,Madagascar,MG,Govt.,Sub.,4512,,,,,,269324.615,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Air Austral SA, located in Sainte-Marie, France, It is a passenger airline. The Company was founded in 1990.","Societe Nationale Malgache De Transports Aeriens SA, located in Antananarivo, Madagascar, It is a passenger airline. It operates as Air Madagascar. The Company was founded in 1962.",,,Unspecified,Stock,madagascar,france,False,False,False,True,False,False,transportation_and_infrastructure,False,True
3061602040,2017-01-05,Mutanda Mining SARL,Glencore PLC,,,1.0,1.0,No,No,No,54800.779,No,Friendly,No,No,No,No,No,,No,2017-01-05,2017-02-13,N,,No,No,,2017-02-13,,Acq. Rem. Int.,No,,1.0,,53.81,46.19,,,31.0,100.0,69.0,69.0,31.0,100.0,,,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,N,No,N,No,No,No,Completed,C,No,,,No,No,922.308,2017-02-13,,No,,37827X,B4T3BW6,37827X,Glencore PLC,37827X,Glencore PLC,Switzerland,5A1821,,37827X,Glencore PLC,37827X,Glencore PLC,B4T3BW6,B4T3BW6,Metals & Mining,Metals & Mining,Materials,Materials,Switzerland,SZ,Dem Rep Congo,DC,Sub.,Public,1021,,922.308,3225.611,3225.611,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Glencore PLC is an integrated producer and marketer of commodities, such as metals and minerals, energy products, agricultural products and Corporate and other. The Metals and minerals segment is engaged in copper, zinc/lead, nickel, ferroalloys, alumina/aluminum and iron ore production and marketing. It also has interests in industrial assets that include mining, smelting, refining and warehousing operations. Its Energy products segment includes coal mining and oil production operations and investments in strategic handling, storage and freight equipment and facilities. Its Agricultural products segment is supported by controlled and non-controlled storage, handling and processing facilities in various locations, and is focused on grains, oils/oilseeds, cotton and sugar. Its diversified operations consist of over 150 mining and metallurgical, oil production and agricultural assets. The Company was founded in 1974 and is located in Baar, Switzerland.","Mutanda Mining SARL is a copper and nickel ore mine operator. Its assets include Mutanda and Kansuki mining concessions in the Katanga region of the Democratic Republic of the Congo. The Company is located in Katanga, the Democratic Republic of the Congo.",,CDF 623.503 bil (USD 496.308 mil) cash plus CDF 535.176 bil (USD 426 mil) in debt reduction/31% stake,"Cash, Debt Reduction","Stock, Stock",democratic_republic_of_congo,switzerland,True,False,False,True,False,False,metals_and_mining,True,False
3062632040,2017-01-12,International Health Solutions,International SOS Pte Ltd,,,,1.0,No,No,No,,No,Friendly,No,No,No,No,,,No,2017-01-12,2017-01-12,N,,Yes,No,,2017-01-12,,Acq. of Assets,No,,,1.0,,,,,100.0,100.0,,,100.0,100.0,,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,N,No,N,No,No,No,Completed,C,No,,1.0,No,No,,2017-01-12,,No,,46790W,,46790W,International SOS Pte Ltd,46790W,International SOS Pte Ltd,Singapore,2F3012,,2987EA,Europ Assistance Holding SAS,45429,Assicurazioni Generali SpA,,4056719,Healthcare Providers & Services (HMOs),Healthcare Providers & Services (HMOs),Healthcare,Healthcare,Singapore,SG,Chad,CD,Sub.,Priv.,8099,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"International SOS Pte Ltd, located in Singapore, owns and operates medical clinics and provides emergency evacuation services. It operates in Africa, Americas, Asia Pacific, CIS, Europe, and Middle East.","International Health Solutions, located in Chad, provides medical onsite services.",,,Unspecified,Assets,chad,singapore,True,False,False,False,True,False,healthcare_providers_and_services__hmos,False,False
