country,year,total_greenfield,total_greenfield_excl_nat_res,total_greenfield_excl_col_link,total_greenfield_excl_qst_source,emne_greenfield,emne_greenfield_excl_nat_res,emne_greenfield_excl_col_link,emne_greenfield_excl_qst_source,count_greenfield,count_greenfield_excl_nat_res,count_greenfield_excl_col_link,count_greenfield_excl_qst_source,emne_count_greenfield,emne_count_greenfield_excl_nat_res,emne_count_greenfield_excl_col_link,emne_count_greenfield_excl_qst_source,total_m_and_a,total_m_and_a_excl_nat_res,total_m_and_a_excl_col_link,total_m_and_a_excl_qst_source,emne_m_and_a,emne_m_and_a_excl_nat_res,emne_m_and_a_excl_col_link,emne_m_and_a_excl_qst_source,count_m_and_a,count_m_and_a_excl_nat_res,count_m_and_a_excl_col_link,count_m_and_a_excl_qst_source,emne_count_m_and_a,emne_count_m_and_a_excl_nat_res,emne_count_m_and_a_excl_col_link,emne_count_m_and_a_excl_qst_source,total_fdi,total_fdi_excl_nat_res,total_fdi_excl_col_link,total_fdi_excl_qst_source,emne_fdi,emne_fdi_excl_nat_res,emne_fdi_excl_col_link,emne_fdi_excl_qst_source,total_fdi_count,total_fdi_excl_nat_res_count,total_fdi_excl_col_link_count,total_fdi_excl_qst_source_count,emne_fdi_count,emne_fdi_excl_nat_res_count,emne_fdi_excl_col_link_count,emne_fdi_excl_qst_source_count,prop_emne_fdi,prop_emne_fdi_excl_nat_res,prop_emne_fdi_excl_col_link,prop_emne_fdi_excl_qst_source,prop_emne_fdi_count,prop_emne_fdi_excl_nat_res_count,prop_emne_fdi_excl_col_link_count,prop_emne_fdi_excl_qst_source_count
afghanistan,2017,6.4,6.4,6.4,6.4,6.4,6.4,6.4,6.4,1,1,1,1,1,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,1,0,0,0,0,6.4,6.4,6.4,6.4,6.4,6.4,6.4,6.4,2,2,2,2,1,1,1,1,1.0,1.0,1.0,1.0,0.5,0.5,0.5,0.5
angola,2017,2579.1,2579.1,2579.1,2579.1,109.7,109.7,109.7,109.7,5,5,5,5,2,2,2,2,70.0,0.0,70.0,70.0,70.0,0.0,70.0,70.0,3,2,3,3,3,2,3,3,2649.1,2579.1,2649.1,2649.1,179.7,109.7,179.7,179.7,8,7,8,8,5,4,5,5,0.06783435883885093,0.042534217362645885,0.06783435883885093,0.06783435883885093,0.625,0.5714285714285714,0.625,0.625
bangladesh,2017,715.0,715.0,553.5,538.3,150.39999999999998,150.39999999999998,144.6,73.7,19,19,15,17,5,5,4,4,0.37,0.37,0.37,0.37,0.0,0.0,0.0,0.0,3,2,3,2,2,1,2,1,715.37,715.37,553.87,538.67,150.39999999999998,150.39999999999998,144.6,73.7,22,21,18,19,7,6,6,5,0.21024085438304652,0.21024085438304652,0.2610720927293408,0.1368184602818052,0.3181818181818182,0.2857142857142857,0.3333333333333333,0.2631578947368421
benin,2017,190.1,190.1,190.1,190.1,190.1,190.1,190.1,190.1,4,4,4,4,4,4,4,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,2,2,2,1,1,1,0,190.1,190.1,190.1,190.1,190.1,190.1,190.1,190.1,7,6,6,6,5,5,5,4,1.0,1.0,1.0,1.0,0.7142857142857143,0.8333333333333334,0.8333333333333334,0.6666666666666666
bhutan,2017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
burkina_faso,2017,4.4,4.4,4.4,4.4,0.0,0.0,0.0,0.0,1,1,1,1,0,0,0,0,429.254,0.0,429.254,429.254,0.0,0.0,0.0,0.0,3,0,2,3,0,0,0,0,433.654,4.4,433.654,433.654,0.0,0.0,0.0,0.0,4,1,3,4,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
burundi,2017,18.4,18.4,15.5,18.4,0.0,0.0,0.0,0.0,3,3,2,3,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,18.4,18.4,15.5,18.4,0.0,0.0,0.0,0.0,3,3,2,3,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cambodia,2017,1946.2799999999997,1846.2799999999997,1940.58,1839.5799999999997,1418.3300000000002,1318.3300000000002,1418.3300000000002,1311.6299999999999,39,38,38,37,25,24,25,23,664.7099999999999,664.7099999999999,664.7099999999999,400.71000000000004,598.71,598.71,598.71,334.71000000000004,13,13,13,12,10,10,10,9,2610.99,2510.99,2605.29,2240.29,2017.0400000000002,1917.0400000000002,2017.0400000000002,1646.34,52,51,51,49,35,34,35,32,0.7725192359986061,0.7634598305847495,0.7742093970344953,0.7348780738208,0.6730769230769231,0.6666666666666666,0.6862745098039216,0.6530612244897959
central_african_republic,2017,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,1,1,1,1,1,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,1,1,1,1,1,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,2,2,2,2,2,2,2,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
chad,2017,8.2,8.2,8.2,8.2,0.0,0.0,0.0,0.0,1,1,1,1,0,0,0,0,35.0,0.0,35.0,35.0,0.0,0.0,0.0,0.0,2,1,2,2,1,1,1,1,43.2,8.2,43.2,43.2,0.0,0.0,0.0,0.0,3,2,3,3,1,1,1,1,0.0,0.0,0.0,0.0,0.3333333333333333,0.5,0.3333333333333333,0.3333333333333333
