total_greenfield,total_greenfield_excl_nat_res,total_greenfield_excl_col_link,total_greenfield_excl_qst_source,emne_greenfield,emne_greenfield_excl_nat_res,emne_greenfield_excl_col_link,emne_greenfield_excl_qst_source,total_m_and_a,total_m_and_a_excl_nat_res,total_m_and_a_excl_col_link,total_m_and_a_excl_qst_source,emne_m_and_a,emne_m_and_a_excl_nat_res,emne_m_and_a_excl_col_link,emne_m_and_a_excl_qst_source,country,year,total_fdi,total_fdi_excl_nat_res,total_fdi_excl_col_link,total_fdi_excl_qst_source,emne_fdi,emne_fdi_excl_nat_res,emne_fdi_excl_col_link,emne_fdi_excl_qst_source,prop_emne_fdi,prop_emne_fdi_excl_nat_res,prop_emne_fdi_excl_col_link,prop_emne_fdi_excl_qst_source
6.4,6.4,6.4,6.4,6.4,6.4,6.4,6.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,afghanistan,2017,6.4,6.4,6.4,6.4,6.4,6.4,6.4,6.4,1.0,1.0,1.0,1.0
2579.1,2579.1,2579.1,2579.1,109.7,109.7,109.7,109.7,70.0,0.0,70.0,70.0,70.0,0.0,70.0,70.0,angola,2017,2649.1,2579.1,2649.1,2649.1,179.7,109.7,179.7,179.7,0.06783435883885093,0.042534217362645885,0.06783435883885093,0.06783435883885093
715.0,715.0,553.5,538.3,150.39999999999998,150.39999999999998,144.6,73.7,0.37,0.37,0.37,0.37,0.0,0.0,0.0,0.0,bangladesh,2017,715.37,715.37,553.87,538.67,150.39999999999998,150.39999999999998,144.6,73.7,0.21024085438304652,0.21024085438304652,0.2610720927293408,0.1368184602818052
190.1,190.1,190.1,190.1,190.1,190.1,190.1,190.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,benin,2017,190.1,190.1,190.1,190.1,190.1,190.1,190.1,190.1,1.0,1.0,1.0,1.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,bhutan,2017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.4,4.4,4.4,4.4,0.0,0.0,0.0,0.0,429.254,0.0,429.254,429.254,0.0,0.0,0.0,0.0,burkina_faso,2017,433.654,4.4,433.654,433.654,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18.4,18.4,15.5,18.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,burundi,2017,18.4,18.4,15.5,18.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1946.2799999999997,1846.2799999999997,1940.58,1839.5799999999997,1418.3300000000002,1318.3300000000002,1418.3300000000002,1311.6299999999999,664.7099999999999,664.7099999999999,664.7099999999999,400.71000000000004,598.71,598.71,598.71,334.71000000000004,cambodia,2017,2610.99,2510.99,2605.29,2240.29,2017.0400000000002,1917.0400000000002,2017.0400000000002,1646.34,0.7725192359986061,0.7634598305847495,0.7742093970344953,0.7348780738208
9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,central_african_republic,2017,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,1.0,1.0,1.0,1.0
8.2,8.2,8.2,8.2,0.0,0.0,0.0,0.0,35.0,0.0,35.0,35.0,0.0,0.0,0.0,0.0,chad,2017,43.2,8.2,43.2,43.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,comoros,2017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
782.7,782.7,782.7,782.7,779.8000000000001,779.8000000000001,779.8000000000001,779.8000000000001,979.936,1.628,979.936,979.936,57.628,1.628,57.628,57.628,democratic_republic_of_congo,2017,1762.636,784.3280000000001,1762.636,1762.636,837.4280000000001,781.4280000000001,837.4280000000001,837.4280000000001,0.4750997937180451,0.9963025672932753,0.4750997937180451,0.4750997937180451
9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,djibouti,2017,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,1.0,1.0,1.0,1.0
116.8,116.8,116.8,116.8,116.8,116.8,116.8,116.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,east_timor,2017,116.8,116.8,116.8,116.8,116.8,116.8,116.8,116.8,1.0,1.0,1.0,1.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,eritrea,2017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1605.0454300000001,1605.0454300000001,1605.0454300000001,1605.0454300000001,1011.6754299999999,1011.6754299999999,1011.6754299999999,1011.6754299999999,1.9,1.9,1.9,1.9,0.0,0.0,0.0,0.0,ethiopia,2017,1606.9454300000002,1606.9454300000002,1606.9454300000002,1606.9454300000002,1011.6754299999999,1011.6754299999999,1011.6754299999999,1011.6754299999999,0.629564272135862,0.629564272135862,0.629564272135862,0.629564272135862
