country,year,total_greenfield,total_greenfield_excl_nat_res,total_greenfield_excl_col_link,total_greenfield_excl_qst_source,emne_greenfield,emne_greenfield_excl_nat_res,emne_greenfield_excl_col_link,emne_greenfield_excl_qst_source,count_greenfield,count_greenfield_excl_nat_res,count_greenfield_excl_col_link,count_greenfield_excl_qst_source,emne_count_greenfield,emne_count_greenfield_excl_nat_res,emne_count_greenfield_excl_col_link,emne_count_greenfield_excl_qst_source,total_m_and_a,total_m_and_a_excl_nat_res,total_m_and_a_excl_col_link,total_m_and_a_excl_qst_source,emne_m_and_a,emne_m_and_a_excl_nat_res,emne_m_and_a_excl_col_link,emne_m_and_a_excl_qst_source,count_m_and_a,count_m_and_a_excl_nat_res,count_m_and_a_excl_col_link,count_m_and_a_excl_qst_source,emne_count_m_and_a,emne_count_m_and_a_excl_nat_res,emne_count_m_and_a_excl_col_link,emne_count_m_and_a_excl_qst_source,total_fdi,total_fdi_excl_nat_res,total_fdi_excl_col_link,total_fdi_excl_qst_source,emne_fdi,emne_fdi_excl_nat_res,emne_fdi_excl_col_link,emne_fdi_excl_qst_source,total_fdi_count,total_fdi_excl_nat_res_count,total_fdi_excl_col_link_count,total_fdi_excl_qst_source_count,emne_fdi_count,emne_fdi_excl_nat_res_count,emne_fdi_excl_col_link_count,emne_fdi_excl_qst_source_count,prop_emne_fdi,prop_emne_fdi_excl_nat_res,prop_emne_fdi_excl_col_link,prop_emne_fdi_excl_qst_source,prop_emne_fdi_count,prop_emne_fdi_excl_nat_res_count,prop_emne_fdi_excl_col_link_count,prop_emne_fdi_excl_qst_source_count,broadband_per_capita,control_of_corruption,gni_per_capita,govt_effectiveness,mobiles_per_capita,phones_per_capita,pol_stability,reg_quality,rule_of_law,voice_and_acc
afghanistan,2018,151.8,151.8,151.8,151.8,89.9,89.9,89.9,89.9,2,2,2,2,1,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,1,1,1,1,1,151.8,151.8,151.8,151.8,89.9,89.9,89.9,89.9,3,3,3,3,2,2,2,2,0.5922266139657444,0.5922266139657444,0.5922266139657444,0.5922266139657444,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.0257279,-1.531909704,,-1.388972163,67.13641492,0.333,-2.794973612,-1.369762778,-1.583736897,-0.990814269
angola,2018,4691.1,175.1,4691.1,4691.1,0.0,0.0,0.0,0.0,6,3,6,6,0,0,0,0,110.526,0.526,110.526,105.526,105.0,0.0,105.0,105.0,5,2,5,4,2,0,2,2,4801.626,175.626,4801.626,4796.626,105.0,0.0,105.0,105.0,11,5,11,10,2,0,2,2,0.0218675923530903,0.0,0.0218675923530903,0.0218903871179449,0.1818181818181818,0.0,0.1818181818181818,0.2,0.320554,-1.444333076,2726.374551,-0.951664865,44.10644535,0.533,-0.389134824,-1.045097113,-1.039731503,-1.094524503
bangladesh,2018,5299.300000000001,5299.300000000001,5006.7,5299.300000000001,2008.5,2008.5,1715.8999999999996,2008.5,28,28,25,28,12,12,9,12,1689.689,209.897,1500.793,1674.689,15.0,15.0,15.0,0.0,8,6,6,7,3,3,3,2,6988.989000000001,5509.197000000001,6507.4929999999995,6973.989000000001,2023.5,2023.5,1730.8999999999996,2008.5,36,34,31,35,15,15,12,14,0.2895268543132632,0.3672949070436216,0.2659856875758452,0.2879987335798779,0.4166666666666667,0.4411764705882353,0.3870967741935484,0.4,4.50131,-0.858938634,,-0.75189054,93.29458051,0.436,-1.253626704,-0.826628149,-0.681922019,-0.615030944
benin,2018,31.6,31.6,26.1,31.6,26.1,26.1,26.1,26.1,4,4,2,4,2,2,2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,31.6,31.6,26.1,31.6,26.1,26.1,26.1,26.1,4,4,2,4,2,2,2,2,0.8259493670886076,0.8259493670886076,1.0,0.8259493670886076,0.5,0.5,1.0,0.5,0.23767,-0.577509105,1060.511835,-0.697799921,75.65070229,0.472,0.026251886,-0.523228943,-0.644662261,0.381144017
bhutan,2018,925.6,925.6,925.6,925.6,925.6,925.6,925.6,925.6,6,6,6,6,6,6,6,6,0.328,0.328,0.328,0.328,0.328,0.328,0.328,0.328,1,1,1,1,1,1,1,1,925.928,925.928,925.928,925.928,925.928,925.928,925.928,925.928,7,7,7,7,7,7,7,7,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.2148,1.529062629,2938.013369,0.563984692,96.62766062,2.83,1.102793097,-0.339257926,0.63007921,0.010954513
burkina_faso,2018,436.6642,436.6642,436.6642,436.6642,403.8,403.8,403.8,403.8,7,7,7,7,5,5,5,5,109.189,100.531,109.189,109.189,100.531,100.531,100.531,100.531,4,2,3,4,1,1,1,1,545.8532,537.1952,545.8532,545.8532,504.331,504.331,504.331,504.331,11,9,10,11,6,6,6,6,0.9239315625519828,0.9388226104775322,0.9239315625519828,0.9239315625519828,0.5454545454545454,0.6666666666666666,0.6,0.5454545454545454,0.062133,-0.138816744,645.4900535,-0.63903302,90.47440751,0.382,-0.927885592,-0.480564415,-0.414195448,0.064944439
burundi,2018,8.2,8.2,8.2,8.2,0.0,0.0,0.0,0.0,1,1,1,1,0,0,0,0,1.513,1.513,1.513,1.513,1.513,1.513,1.513,1.513,2,2,2,2,2,2,2,2,9.713,9.713,9.713,9.713,1.513,1.513,1.513,1.513,3,3,3,3,2,2,2,2,0.155770616699269,0.155770616699269,0.155770616699269,0.155770616699269,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.0340148,-1.31923759,278.126333,-1.382489681,53.073037,0.203,-2.002573967,-0.871142566,-1.41499579,-1.575841904
cambodia,2018,3038.3981,2796.6281000000004,3038.3981,2910.3981,2268.39,2026.62,2268.39,2140.39,53,46,53,49,42,35,42,38,100.915,100.21300000000002,100.915,90.91500000000002,18.515,17.813,18.515,8.515,16,15,16,14,11,10,11,10,3139.3131,2896.841100000001,3139.3131,3001.3131,2286.9049999999997,2044.433,2286.9049999999997,2148.9049999999997,69,61,69,63,53,45,53,48,0.7284730535479241,0.7057456482511242,0.7284730535479241,0.7159882785971247,0.7681159420289855,0.7377049180327869,0.7681159420289855,0.7619047619047619,0.831394,-1.317361832,1236.66909,-0.696423292,117.3225889,0.827,0.093508989,-0.521386206,-1.07539475,-1.15467155
central_african_republic,2018,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,1,1,1,1,1,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,1,1,1,0,1,1,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,2,1,2,2,2,1,2,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0129133,-1.200072527,387.622583,-1.793202519,23.52311236,0.0439,-1.993532181,-1.500687957,-1.761831522,-1.106176853
chad,2018,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,1,1,1,1,1,1,1,1,16.717,0.0,16.717,16.717,16.717,0.0,16.717,16.717,1,0,1,1,1,0,1,1,21.217,4.5,21.217,21.217,21.217,4.5,21.217,21.217,2,1,2,2,2,1,2,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0021187,-1.458002687,650.4143967,-1.510803461,42.21562356,0.0555,-1.286392093,-1.23040843,-1.321412563,-1.371380925
comoros,2018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.217268,-0.71099925,1366.859479,-1.678573728,61.56441686,2.27,0.022407399,-1.104941845,-1.107463121,-0.335755855
democratic_republic_of_congo,2018,1058.7,911.7,1058.7,1005.7,1005.8,858.8000000000001,1005.8,952.8,9,8,9,8,6,5,6,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,1,1,1,0,1,1,1058.7,911.7,1058.7,1005.7,1005.8,858.8000000000001,1005.8,952.8,10,8,10,9,7,5,7,6,0.9500330594124872,0.9419765273664584,0.9500330594124872,0.947399821020185,0.7,0.625,0.7,0.6666666666666666,0.00114832,-1.446218252,465.6979878,-1.66798234,41.97184654,0,-2.339438915,-1.486596823,-1.71502316,-1.465801239
djibouti,2018,194.5,164.5,30.0,194.5,30.0,0.0,30.0,30.0,2,1,1,2,1,0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,3,3,3,3,3,3,3,194.5,164.5,30.0,194.5,30.0,0.0,30.0,30.0,5,4,4,5,4,3,4,4,0.1542416452442159,0.0,1.0,0.1542416452442159,0.8,0.75,1.0,0.8,2.3121,-0.671873569,2624.575192,-1.087286115,35.86235007,3.47,-0.733945012,-0.690780044,-0.93407172,-1.406437516
