country,2016_estimate,2017_estimate
Aruba,1.23,1.24
Andorra,1.16,1.17
Afghanistan,-1.54,-1.53
Angola,-1.48,-1.44
Anguilla,1.16,1.17
Albania,-0.47,-0.48
Netherlands Antilles (former),#N/A,#N/A
United Arab Emirates,1.13,1.10
Argentina,-0.30,-0.31
Armenia,-0.66,-0.64
American Samoa,1.16,1.76
Antigua and Barbuda,0.65,0.20
Australia,1.77,1.75
Austria,1.50,1.50
Azerbaijan,-0.85,-0.91
Burundi,-1.28,-1.32
Belgium,1.53,1.40
Benin,-0.53,-0.58
Burkina Faso,-0.17,-0.14
Bangladesh,-0.89,-0.86
Bulgaria,-0.26,-0.20
Bahrain,-0.05,-0.17
"Bahamas, The",1.07,1.13
Bosnia and Herzegovina,-0.49,-0.55
Belarus,-0.22,-0.24
Belize,-0.23,-0.31
Bermuda,1.16,1.17
Bolivia,-0.77,-0.70
Brazil,-0.45,-0.56
Barbados,1.21,1.38
Brunei Darussalam,0.53,0.68
Bhutan,1.09,1.53
South Sudan,-1.76,-1.75
Botswana,0.87,0.71
Central African Republic,-1.31,-1.20
Canada,1.94,1.88
Switzerland,1.94,1.94
Chile,1.02,1.00
China,-0.27,-0.29
Côte d'Ivoire,-0.56,-0.55
Cameroon,-1.18,-1.23
"Congo, Rep.",-1.23,-1.37
Cook Islands,#N/A,#N/A
Colombia,-0.38,-0.43
Comoros,-0.71,-0.71
Cape Verde,0.84,0.80
Costa Rica,0.68,0.43
Cuba,0.14,0.23
Cayman Islands,0.48,0.48
Cyprus,0.79,0.75
Czech Republic,0.56,0.57
Germany,1.78,1.80
Djibouti,-0.69,-0.67
Dominica,0.62,0.64
Denmark,2.20,2.19
Dominican Republic,-0.81,-0.79
Algeria,-0.67,-0.60
Ecuador,-0.68,-0.63
"Egypt, Arab Rep.",-0.59,-0.50
Eritrea,-1.34,-1.23
Spain,0.57,0.51
Estonia,1.23,1.20
Ethiopia,-0.44,-0.58
Finland,2.19,2.16
Fiji,0.34,0.64
France,1.33,1.22
"Micronesia, Fed. Sts.",0.71,0.78
Gabon,-0.76,-0.84
United Kingdom,1.85,1.81
Georgia,0.71,0.76
Ghana,-0.18,-0.25
Guinea,-0.95,-1.04
"Gambia, The",-0.85,-0.66
Guinea-Bissau,-1.59,-1.60
Equatorial Guinea,-1.60,-1.65
Greece,-0.13,-0.11
Grenada,0.56,0.46
Greenland,1.13,1.15
Guatemala,-0.79,-0.79
French Guiana,0.93,0.95
Guam,1.16,1.17
Guyana,-0.35,-0.53
"Hong Kong SAR, China",1.52,1.57
Honduras,-0.68,-0.74
Croatia,0.16,0.06
Haiti,-1.35,-1.26
Hungary,0.07,0.09
Indonesia,-0.46,-0.30
India,-0.34,-0.29
Ireland,1.65,1.53
"Iran, Islamic Rep.",-0.74,-0.84
Iraq,-1.46,-1.43
Iceland,1.90,1.79
Israel,1.15,0.79
