country,2016_estimate,2017_estimate
Aruba,0.85,0.88
Andorra,1.81,1.88
Afghanistan,-1.29,-1.39
Angola,-0.97,-0.95
Anguilla,1.28,0.78
Albania,0.03,0.10
Netherlands Antilles (former),#N/A,#N/A
United Arab Emirates,1.41,1.41
Argentina,0.22,0.14
Armenia,-0.31,-0.25
American Samoa,0.48,0.51
Antigua and Barbuda,0.22,-0.04
Australia,1.53,1.50
Austria,1.48,1.47
Azerbaijan,-0.16,-0.17
Burundi,-1.48,-1.38
Belgium,1.40,1.24
Benin,-0.62,-0.70
Burkina Faso,-0.64,-0.64
Bangladesh,-0.71,-0.75
Bulgaria,0.09,0.10
Bahrain,0.27,0.14
"Bahamas, The",0.68,0.54
Bosnia and Herzegovina,-0.45,-0.52
Belarus,-0.51,-0.36
Belize,-0.64,-0.67
Bermuda,1.28,1.33
Bolivia,-0.60,-0.40
Brazil,-0.25,-0.32
Barbados,1.04,0.80
Brunei Darussalam,1.05,1.11
Bhutan,0.50,0.56
South Sudan,-2.34,-2.44
Botswana,0.50,0.37
Central African Republic,-1.81,-1.79
Canada,1.75,1.82
Switzerland,1.97,2.02
Chile,0.83,0.81
China,0.36,0.42
Côte d'Ivoire,-0.74,-0.81
Cameroon,-0.82,-0.86
"Congo, Rep.",-1.13,-1.25
Cook Islands,#N/A,#N/A
Colombia,-0.04,-0.14
Comoros,-1.68,-1.68
Cape Verde,0.11,0.14
Costa Rica,0.28,0.22
Cuba,-0.12,-0.20
Cayman Islands,1.14,1.18
Cyprus,0.93,0.89
Czech Republic,1.01,1.03
Germany,1.66,1.61
Djibouti,-1.04,-1.09
Dominica,0.17,-0.24
Denmark,1.82,1.75
Dominican Republic,-0.29,-0.38
Algeria,-0.46,-0.54
Ecuador,-0.38,-0.35
"Egypt, Arab Rep.",-0.54,-0.53
Eritrea,-1.78,-1.80
Spain,1.10,1.00
Estonia,1.06,1.07
Ethiopia,-0.71,-0.76
Finland,1.84,1.98
Fiji,-0.28,0.24
France,1.38,1.31
"Micronesia, Fed. Sts.",-0.05,0.42
Gabon,-0.83,-1.00
United Kingdom,1.57,1.43
Georgia,0.42,0.48
Ghana,-0.25,-0.19
Guinea,-1.06,-1.09
"Gambia, The",-0.94,-0.75
Guinea-Bissau,-1.71,-1.81
Equatorial Guinea,-1.16,-1.17
