country,2016_estimate,2017_estimate
Aruba,1.26,1.31
Andorra,1.38,1.39
Afghanistan,-2.66,-2.79
Angola,-0.32,-0.39
Anguilla,1.28,1.36
Albania,0.34,0.37
Netherlands Antilles (former),#N/A,#N/A
United Arab Emirates,0.55,0.60
Argentina,0.20,0.16
Armenia,-0.67,-0.63
American Samoa,1.16,1.18
Antigua and Barbuda,0.86,0.73
Australia,1.03,0.88
Austria,0.89,1.03
Azerbaijan,-0.81,-0.75
Burundi,-1.96,-2.00
Belgium,0.43,0.42
Benin,-0.01,0.03
Burkina Faso,-0.87,-0.93
Bangladesh,-1.26,-1.25
Bulgaria,0.07,0.32
Bahrain,-0.79,-0.96
"Bahamas, The",0.96,0.98
Bosnia and Herzegovina,-0.40,-0.35
Belarus,0.14,-0.06
Belize,0.05,0.03
Bermuda,0.98,0.98
Bolivia,-0.25,-0.28
Brazil,-0.38,-0.48
Barbados,0.96,0.95
Brunei Darussalam,1.14,1.15
Bhutan,1.11,1.10
South Sudan,-2.41,-2.45
Botswana,0.98,1.01
Central African Republic,-1.78,-1.99
Canada,1.24,1.09
Switzerland,1.29,1.24
Chile,0.40,0.41
China,-0.50,-0.23
Côte d'Ivoire,-0.91,-1.09
Cameroon,-1.06,-1.09
"Congo, Rep.",-0.52,-0.53
Cook Islands,#N/A,#N/A
Colombia,-0.89,-0.78
Comoros,0.02,0.02
Cape Verde,0.87,0.76
Costa Rica,0.65,0.60
Cuba,0.67,0.64
Cayman Islands,1.14,1.16
Cyprus,0.59,0.53
Czech Republic,0.96,0.99
Germany,0.67,0.57
Djibouti,-0.63,-0.73
Dominica,0.98,1.17
Denmark,0.85,0.85
Dominican Republic,0.24,0.15
Algeria,-1.10,-0.92
Ecuador,-0.09,-0.08
"Egypt, Arab Rep.",-1.44,-1.43
Eritrea,-0.66,-0.73
Spain,0.40,0.27
Estonia,0.66,0.64
Ethiopia,-1.62,-1.68
Finland,0.98,1.06
Fiji,0.90,0.59
France,-0.11,0.27
"Micronesia, Fed. Sts.",1.04,1.16
Gabon,-0.11,-0.11
United Kingdom,0.35,0.38
Georgia,-0.32,-0.38
Ghana,-0.14,0.08
Guinea,-0.40,-0.70
"Gambia, The",-0.44,-0.09
