country,2016_estimate,2017_estimate
Aruba,1.34,1.18
Andorra,0.86,1.20
Afghanistan,-1.34,-1.37
Angola,-0.97,-1.05
Anguilla,0.86,0.83
Albania,0.19,0.22
Netherlands Antilles (former),#N/A,#N/A
United Arab Emirates,0.96,1.00
Argentina,-0.35,-0.20
Armenia,0.21,0.23
American Samoa,0.12,-0.27
Antigua and Barbuda,0.33,0.24
Australia,1.89,1.92
Austria,1.43,1.43
Azerbaijan,-0.40,-0.37
Burundi,-0.85,-0.87
Belgium,1.33,1.23
Benin,-0.58,-0.52
Burkina Faso,-0.45,-0.48
Bangladesh,-0.81,-0.83
Bulgaria,0.70,0.66
Bahrain,0.60,0.40
"Bahamas, The",0.24,0.11
Bosnia and Herzegovina,-0.14,-0.06
Belarus,-1.09,-0.86
Belize,-0.49,-0.56
Bermuda,0.86,0.83
Bolivia,-1.02,-1.00
Brazil,-0.19,-0.13
Barbados,0.47,0.48
Brunei Darussalam,0.58,0.70
Bhutan,-0.69,-0.34
South Sudan,-1.80,-1.95
Botswana,0.73,0.59
Central African Republic,-1.42,-1.50
Canada,1.73,1.88
Switzerland,1.90,1.88
Chile,1.36,1.33
China,-0.31,-0.18
Côte d'Ivoire,-0.42,-0.41
Cameroon,-0.81,-0.85
"Congo, Rep.",-1.21,-1.42
Cook Islands,#N/A,#N/A
Colombia,0.34,0.26
Comoros,-1.10,-1.10
Cape Verde,-0.19,-0.07
Costa Rica,0.53,0.43
Cuba,-1.36,-1.35
Cayman Islands,0.77,0.74
Cyprus,1.04,1.02
Czech Republic,0.97,1.22
Germany,1.81,1.77
Djibouti,-0.75,-0.69
Dominica,0.18,0.15
Denmark,1.56,1.61
Dominican Republic,-0.01,-0.04
Algeria,-1.24,-1.28
Ecuador,-0.96,-1.02
"Egypt, Arab Rep.",-0.89,-0.81
Eritrea,-2.11,-2.18
Spain,1.00,0.93
Estonia,1.69,1.63
Ethiopia,-1.11,-1.03
Finland,1.81,1.81
Fiji,-0.23,0.06
France,1.06,1.15
"Micronesia, Fed. Sts.",-0.96,-1.00
Gabon,-0.72,-0.71
United Kingdom,1.75,1.70
Georgia,0.86,0.95
Ghana,-0.30,-0.19
Guinea,-0.89,-0.87
"Gambia, The",-0.58,-0.51
Guinea-Bissau,-1.25,-1.22
Equatorial Guinea,-1.56,-1.58
Greece,0.14,0.22
Grenada,0.06,-0.05
Greenland,1.32,1.31
Guatemala,-0.30,-0.37
French Guiana,1.42,1.27
Guam,0.12,0.09
Guyana,-0.43,-0.40
"Hong Kong SAR, China",2.14,2.16
Honduras,-0.53,-0.45
Croatia,0.24,0.30
Haiti,-1.26,-1.35
Hungary,0.59,0.64
Indonesia,-0.03,0.03
India,-0.31,-0.26
Ireland,1.73,1.57
"Iran, Islamic Rep.",-1.25,-1.22
Iraq,-0.99,-1.11
Iceland,1.27,1.42
Israel,1.30,1.26
Italy,0.70,0.69
Jamaica,0.10,0.06
Jordan,0.07,0.08
Japan,1.42,1.36
Kazakhstan,-0.16,0.15
Kenya,-0.36,-0.28
Kyrgyz Republic,-0.39,-0.38
Cambodia,-0.49,-0.52
Kiribati,-0.82,-0.82
St. Kitts and Nevis,0.71,0.54
"Korea, Rep.",1.10,1.09
Kuwait,-0.09,-0.08
Lao PDR,-0.76,-0.75
Lebanon,-0.42,-0.38
Liberia,-0.98,-0.98
Libya,-2.22,-2.15
St. Lucia,0.27,0.33
Liechtenstein,1.36,1.48
Sri Lanka,-0.12,-0.16
Lesotho,-0.46,-0.38
Lithuania,1.12,1.15
Luxembourg,1.71,1.68
Latvia,1.07,1.14
Kosovo,-0.22,-0.15
"Macao SAR, China",1.77,1.75
Morocco,-0.16,-0.16
Monaco,1.23,1.20
Moldova,-0.13,-0.05
Madagascar,-0.74,-0.74
Maldives,-0.50,-0.44
Mexico,0.20,0.18
Marshall Islands,-0.89,-0.95
North Macedonia,0.38,0.44
Mali,-0.64,-0.62
