country,2016_estimate,2017_estimate
Aruba,1.23,1.29
Andorra,1.51,1.53
Afghanistan,-1.52,-1.58
Angola,-1.00,-1.04
Anguilla,-0.12,-0.15
Albania,-0.32,-0.41
Netherlands Antilles (former),#N/A,#N/A
United Arab Emirates,0.82,0.77
Argentina,-0.32,-0.24
Armenia,-0.16,-0.21
American Samoa,1.28,1.29
Antigua and Barbuda,0.47,0.41
Australia,1.72,1.64
Austria,1.76,1.80
Azerbaijan,-0.54,-0.58
Burundi,-1.48,-1.41
Belgium,1.39,1.32
Benin,-0.63,-0.64
Burkina Faso,-0.45,-0.41
Bangladesh,-0.67,-0.68
Bulgaria,-0.14,-0.12
Bahrain,0.43,0.42
"Bahamas, The",0.23,0.16
Bosnia and Herzegovina,-0.19,-0.20
Belarus,-0.77,-0.88
Belize,-0.97,-0.97
Bermuda,0.81,0.81
Bolivia,-1.24,-1.24
Brazil,-0.20,-0.31
Barbados,0.76,0.63
Brunei Darussalam,0.53,0.62
Bhutan,0.51,0.63
South Sudan,-1.98,-1.97
Botswana,0.38,0.36
Central African Republic,-1.85,-1.76
Canada,1.80,1.76
Switzerland,1.91,1.89
Chile,0.96,0.98
China,-0.32,-0.26
Côte d'Ivoire,-0.66,-0.65
Cameroon,-1.06,-1.05
"Congo, Rep.",-1.15,-1.16
Cook Islands,#N/A,#N/A
Colombia,-0.27,-0.37
Comoros,-1.05,-1.11
Cape Verde,0.29,0.36
Costa Rica,0.43,0.43
Cuba,-0.46,-0.45
Cayman Islands,0.76,0.74
Cyprus,0.69,0.85
Czech Republic,0.99,1.09
Germany,1.58,1.57
Djibouti,-1.00,-0.93
Dominica,0.65,0.66
Denmark,1.88,1.80
Dominican Republic,-0.39,-0.43
Algeria,-0.92,-0.93
Ecuador,-0.65,-0.72
"Egypt, Arab Rep.",-0.48,-0.45
Eritrea,-1.66,-1.60
Spain,0.97,1.02
Estonia,1.19,1.25
Ethiopia,-0.51,-0.47
Finland,2.01,2.02
Fiji,-0.09,-0.08
France,1.35,1.40
"Micronesia, Fed. Sts.",0.00,0.06
Gabon,-0.61,-0.72
United Kingdom,1.64,1.64
Georgia,0.34,0.26
Ghana,0.03,0.11
Guinea,-1.24,-1.25
"Gambia, The",-0.80,-0.46
Guinea-Bissau,-1.54,-1.47
Equatorial Guinea,-1.39,-1.37
Greece,0.11,0.05
Grenada,0.62,0.46
Greenland,1.69,1.69
Guatemala,-1.03,-1.08
French Guiana,1.27,1.16
Guam,1.05,1.29
Guyana,-0.31,-0.30
"Hong Kong SAR, China",1.68,1.68
