country,2016_estimate,2017_estimate
Aruba,1.28,1.30
Andorra,1.18,1.16
Afghanistan,-1.04,-0.99
Angola,-1.14,-1.09
Anguilla,#N/A,#N/A
Albania,0.17,0.20
Netherlands Antilles (former),#N/A,#N/A
United Arab Emirates,-1.05,-1.10
Argentina,0.49,0.53
Armenia,-0.58,-0.56
American Samoa,#N/A,#N/A
Antigua and Barbuda,0.63,0.61
Australia,1.35,1.38
Austria,1.34,1.39
Azerbaijan,-1.56,-1.56
Burundi,-1.56,-1.58
Belgium,1.38,1.34
Benin,0.41,0.38
Burkina Faso,0.01,0.06
Bangladesh,-0.58,-0.62
Bulgaria,0.40,0.43
Bahrain,-1.37,-1.39
"Bahamas, The",0.85,0.85
Bosnia and Herzegovina,-0.13,-0.21
Belarus,-1.34,-1.36
Belize,0.57,0.57
Bermuda,#N/A,#N/A
Bolivia,-0.04,-0.02
Brazil,0.45,0.45
Barbados,1.09,1.11
Brunei Darussalam,-0.90,-0.95
Bhutan,-0.03,0.01
South Sudan,-1.80,-1.82
Botswana,0.40,0.39
Central African Republic,-1.08,-1.11
Canada,1.45,1.48
Switzerland,1.53,1.56
Chile,1.00,1.00
China,-1.56,-1.50
Côte d'Ivoire,-0.31,-0.28
Cameroon,-1.03,-1.05
"Congo, Rep.",-1.16,-1.12
Cook Islands,#N/A,#N/A
Colombia,0.12,0.11
Comoros,-0.29,-0.34
Cape Verde,0.97,0.96
Costa Rica,1.12,1.12
Cuba,-1.56,-1.55
Cayman Islands,0.47,0.49
Cyprus,1.05,1.06
Czech Republic,1.03,0.88
Germany,1.36,1.43
Djibouti,-1.37,-1.41
Dominica,0.90,0.88
Denmark,1.54,1.52
Dominican Republic,0.18,0.16
Algeria,-0.86,-0.90
Ecuador,-0.25,-0.17
"Egypt, Arab Rep.",-1.20,-1.25
Eritrea,-2.17,-2.17
Spain,1.04,1.02
Estonia,1.21,1.21
Ethiopia,-1.40,-1.43
Finland,1.53,1.56
Fiji,0.03,0.12
France,1.14,1.15
"Micronesia, Fed. Sts.",1.15,1.15
Gabon,-0.97,-1.06
United Kingdom,1.30,1.36
Georgia,0.30,0.26
Ghana,0.58,0.60
Guinea,-0.76,-0.74
"Gambia, The",-1.26,-0.62
Guinea-Bissau,-0.73,-0.80
Equatorial Guinea,-1.95,-1.97
Greece,0.67,0.66
Grenada,0.82,0.74
Greenland,1.28,1.30
Guatemala,-0.29,-0.28
French Guiana,1.28,1.30
Guam,#N/A,#N/A
Guyana,0.25,0.28
"Hong Kong SAR, China",0.38,0.43
Honduras,-0.44,-0.44
Croatia,0.53,0.48
Haiti,-0.76,-0.74
Hungary,0.40,0.54
Indonesia,0.17,0.13
India,0.44,0.39
Ireland,1.29,1.29
"Iran, Islamic Rep.",-1.34,-1.30
Iraq,-1.02,-1.05
Iceland,1.36,1.38
Israel,0.79,0.70
Italy,1.03,0.99
Jamaica,0.68,0.69
Jordan,-0.71,-0.71
Japan,0.98,1.00
Kazakhstan,-1.21,-1.24
Kenya,-0.11,-0.20
Kyrgyz Republic,-0.42,-0.43
Cambodia,-1.11,-1.15
Kiribati,1.00,1.05
St. Kitts and Nevis,1.01,1.00
"Korea, Rep.",0.64,0.76
Kuwait,-0.63,-0.61
Lao PDR,-1.76,-1.75
Lebanon,-0.52,-0.58
Liberia,-0.11,0.04
Libya,-1.43,-1.44
St. Lucia,1.01,0.99
Liechtenstein,1.25,1.28
Sri Lanka,-0.08,-0.06
Lesotho,-0.01,-0.01
Lithuania,1.00,0.99
Luxembourg,1.50,1.52
Latvia,0.84,0.80
Kosovo,-0.15,-0.12
"Macao SAR, China",-0.06,-0.05
Morocco,-0.62,-0.67
Monaco,0.84,0.84
Moldova,-0.01,-0.02
Madagascar,-0.32,-0.35
Maldives,-0.73,-0.74
Mexico,-0.07,-0.09
Marshall Islands,1.19,1.19
North Macedonia,-0.23,-0.14
Mali,-0.18,-0.21
Malta,1.20,1.17
Myanmar,-0.80,-0.86
Mongolia,0.33,0.29
Montenegro,0.08,0.12
Mozambique,-0.42,-0.42
Mauritania,-0.77,-0.80
Martinique,#N/A,#N/A
Mauritius,0.82,0.79
Malawi,-0.03,-0.03
Malaysia,-0.42,-0.40
Namibia,0.58,0.55
Niger,-0.42,-0.43
Nigeria,-0.32,-0.34
Nicaragua,-0.68,-0.72
Niue,#N/A,#N/A
Netherlands,1.54,1.50
Norway,1.66,1.69
