Country Name,Series Name,2016 [YR2016],2017 [YR2017]
Afghanistan,GNI per capita (constant 2015 US$),..,..
Afghanistan,Rule of Law: Estimate,-1.520713925,-1.583736897
Afghanistan,Voice and Accountability: Estimate,-1.037788033,-0.990814269
Afghanistan,Political Stability and Absence of Violence/Terrorism: Estimate,-2.662156105,-2.794973612
Afghanistan,Government Effectiveness: Estimate,-1.290252805,-1.388972163
Afghanistan,Regulatory Quality: Estimate,-1.339695096,-1.369762778
Afghanistan,Control of Corruption: Estimate,-1.540352702,-1.531909704
Afghanistan,Mobile cellular subscriptions (per 100 people),62.37109623,67.13641492
Afghanistan,Fixed broadband subscriptions (per 100 people),0.0253627,0.0257279
Afghanistan,Fixed telephone subscriptions (per 100 people),0.329,0.333
Angola,GNI per capita (constant 2015 US$),2862.96378,2726.374551
Angola,Rule of Law: Estimate,-1.0038656,-1.039731503
Angola,Voice and Accountability: Estimate,-1.140292645,-1.094524503
Angola,Political Stability and Absence of Violence/Terrorism: Estimate,-0.321580082,-0.389134824
Angola,Government Effectiveness: Estimate,-0.971013606,-0.951664865
Angola,Regulatory Quality: Estimate,-0.969250917,-1.045097113
Angola,Control of Corruption: Estimate,-1.483337283,-1.444333076
Angola,Mobile cellular subscriptions (per 100 people),44.59350803,44.10644535
Angola,Fixed broadband subscriptions (per 100 people),0.290319,0.320554
Angola,Fixed telephone subscriptions (per 100 people),1.04,0.533
Bangladesh,GNI per capita (constant 2015 US$),..,..
Bangladesh,Rule of Law: Estimate,-0.670857012,-0.681922019
Bangladesh,Voice and Accountability: Estimate,-0.583839417,-0.615030944
Bangladesh,Political Stability and Absence of Violence/Terrorism: Estimate,-1.259732962,-1.253626704
Bangladesh,Government Effectiveness: Estimate,-0.706855893,-0.75189054
Bangladesh,Regulatory Quality: Estimate,-0.811327994,-0.826628149
Bangladesh,Control of Corruption: Estimate,-0.886878014,-0.858938634
Bangladesh,Mobile cellular subscriptions (per 100 people),85.10324101,93.29458051
Bangladesh,Fixed broadband subscriptions (per 100 people),4.09944,4.50131
Bangladesh,Fixed telephone subscriptions (per 100 people),0.476,0.436
Benin,GNI per capita (constant 2015 US$),1035.968867,1060.511835
Benin,Rule of Law: Estimate,-0.625831366,-0.644662261
Benin,Voice and Accountability: Estimate,0.408386111,0.381144017
Benin,Political Stability and Absence of Violence/Terrorism: Estimate,-0.008783503,0.026251886
Benin,Government Effectiveness: Estimate,-0.624919176,-0.697799921
Benin,Regulatory Quality: Estimate,-0.58305639,-0.523228943
Benin,Control of Corruption: Estimate,-0.529120028,-0.577509105
Benin,Mobile cellular subscriptions (per 100 people),78.97356015,75.65070229
Benin,Fixed broadband subscriptions (per 100 people),0.190616,0.23767
Benin,Fixed telephone subscriptions (per 100 people),1.07,0.472
Bhutan,GNI per capita (constant 2015 US$),2868.826095,2938.013369
Bhutan,Rule of Law: Estimate,0.509927452,0.63007921
Bhutan,Voice and Accountability: Estimate,-0.025891906,0.010954513
Bhutan,Political Stability and Absence of Violence/Terrorism: Estimate,1.106088281,1.102793097
Bhutan,Government Effectiveness: Estimate,0.496288836,0.563984692
Bhutan,Regulatory Quality: Estimate,-0.691017687,-0.339257926
Bhutan,Control of Corruption: Estimate,1.091020465,1.529062629
Bhutan,Mobile cellular subscriptions (per 100 people),93.14595832,96.62766062
Bhutan,Fixed broadband subscriptions (per 100 people),2.20481,2.2148
Bhutan,Fixed telephone subscriptions (per 100 people),2.82,2.83
Burkina Faso,GNI per capita (constant 2015 US$),620.8830011,645.4900535
Burkina Faso,Rule of Law: Estimate,-0.454765856,-0.414195448
Burkina Faso,Voice and Accountability: Estimate,0.013836443,0.064944439
Burkina Faso,Political Stability and Absence of Violence/Terrorism: Estimate,-0.868710697,-0.927885592
