="Random Effects Panel Tobit Results"

="",="(1)"
="",="prop_emne_excl_col_link"

="prop_emne_excl_col_link",=""
="gni_per_capita",="-0.0030"
="",="(0.0121)"

="broadband_per_capita",="22.5911"
="",="(15.4127)"

="mobiles_per_capita",="-0.3938**"
="",="(0.1990)"

="geographic_proximity",="4.8422"
="",="(12.9916)"

="colonial_link",="-17.8035"
="",="(12.8157)"

="Constant",="92.4175***"
="",="(19.5076)"

="/",=""
="sigma_u",="12.0495"
="",="(14.7831)"

="sigma_e",="36.3170***"
="",="(6.5467)"

="Observations",="48"

="Standard errors in parentheses"
="* p<0.10, ** p<0.05, *** p<0.01"
