="Random Effects Panel Tobit Results"

="",="(1)"
="",="prop_emne_excl_qst_source"

="prop_emne_excl_qst_source",=""
="voice_and_acc",="0.0147"
="",="(0.1060)"

="pol_stability",="0.3169***"
="",="(0.1159)"

="govt_effectiveness",="-0.2094"
="",="(0.2236)"

="reg_quality",="-0.0668"
="",="(0.3466)"

="rule_of_law",="-0.4929**"
="",="(0.2487)"

="control_of_corruption",="0.3536*"
="",="(0.2076)"

="gni_per_capita",="-0.0002*"
="",="(0.0001)"

="broadband_per_capita",="0.2266**"
="",="(0.1153)"

="mobiles_per_capita",="-0.0039*"
="",="(0.0020)"

="geographic_proximity",="0.0088"
="",="(0.1013)"

="colonial_link",="-0.4640***"
="",="(0.1285)"

="Constant",="1.0014***"
="",="(0.3301)"

="/",=""
="sigma_u",="0.0000"
="",="(0.0876)"

="sigma_e",="0.3010***"
="",="(0.0383)"

="Observations",="50"

="Standard errors in parentheses"
="* p<0.10, ** p<0.05, *** p<0.01"
