industry,count,nat_resource
agriculture_and_livestock,10,TRUE
alternative_energy_sources,4,FALSE
asset_management,2,FALSE
banks,25,FALSE
brokerage,2,FALSE
building_construction_and_engineering,7,FALSE
cable,1,FALSE
chemicals,4,FALSE
construction_materials,3,FALSE
credit_institutions,6,FALSE
diversified_financials,2,FALSE
e_commerce___b2b,2,FALSE
educational_services,4,FALSE
electronics,1,FALSE
employment_services,1,FALSE
food_and_beverage,18,FALSE
food_and_beverage_retailing,4,FALSE
healthcare_equipment_and_supplies,2,FALSE
healthcare_providers_and_services__hmos,2,FALSE
hospitals,2,FALSE
hotels_and_lodging,4,FALSE
household_and_personal_products,1,FALSE
insurance,5,FALSE
internet_software_and_services,3,FALSE
it_consulting_and_services,5,FALSE
metals_and_mining,44,TRUE
motion_pictures___audio_visual,2,FALSE
oil_and_gas,19,TRUE
other_consumer_products,7,FALSE
other_financials,11,FALSE
other_industrials,3,FALSE
other_materials,1,FALSE
other_real_estate,6,FALSE
other_retailing,2,FALSE
other_telecom,1,FALSE
paper_and_forest_products,1,TRUE
pharmaceuticals,7,FALSE
pipelines,1,FALSE
power,4,FALSE
professional_services,2,FALSE
publishing,1,FALSE
real_estate_management_and_development,2,FALSE
recreation_and_leisure,1,FALSE
software,4,FALSE
telecommunications_services,11,FALSE
textiles_and_apparel,5,FALSE
tobacco,3,TRUE
transportation_and_infrastructure,11,FALSE
travel_services,2,FALSE
water_and_waste_management,2,FALSE
wireless,3,FALSE
