old_name,new_name
Afghanistan,
Albania,
Algeria,
American Samoa,
Andorra,
Angola,
Anguilla,
Antigua and Barbuda,
Argentina,
Armenia,
Aruba,
Australia,
Austria,
Azerbaijan,
"Bahamas, The",bahamas
Bahrain,
Bangladesh,
Barbados,
Belarus,
Belgium,
Belize,
Benin,
Bermuda,
Bhutan,
Bolivia,
Bosnia and Herzegovina,
Botswana,
Brazil,
Brunei Darussalam,
Bulgaria,
Burkina Faso,
Burundi,
Cambodia,
Cameroon,
Canada,
Cape Verde,
Cayman Islands,
Central African Republic,
Chad,
Chile,
China,
Colombia,
Comoros,
"Congo, Dem. Rep.",democratic_republic_of_congo
"Congo, Rep.",congo
Cook Islands,
Costa Rica,
Côte d'Ivoire,cote_d'ivoire
Croatia,
Cuba,
Cyprus,
Czech Republic,
Denmark,
Djibouti,
Dominica,
Dominican Republic,
Ecuador,
"Egypt, Arab Rep.",egypt
El Salvador,
Equatorial Guinea,
Eritrea,
Estonia,
Eswatini,swaziland
Ethiopia,
Fiji,
Finland,
France,
French Guiana,
Gabon,
"Gambia, The",gambia
Georgia,
Germany,
Ghana,
Greece,
Greenland,
Grenada,
Guam,
Guatemala,
Guinea,
Guinea-Bissau,
Guyana,
Haiti,
Honduras,
"Hong Kong SAR, China",hong_kong
Hungary,
Iceland,
India,
Indonesia,
"Iran, Islamic Rep.",iran
Iraq,
Ireland,
Israel,
Italy,
Jamaica,
Japan,
"Jersey, Channel Islands",jersey
Jordan,
Kazakhstan,
Kenya,
Kiribati,
"Korea, Dem. Rep.",north_korea
"Korea, Rep.",south_korea
Kosovo,
Kuwait,
Kyrgyz Republic,kyrgyzstan
Lao PDR,laos
Latvia,
Lebanon,
Lesotho,
Liberia,
Libya,
Liechtenstein,
Lithuania,
Luxembourg,
"Macao SAR, China",macao
Madagascar,
Malawi,
Malaysia,
Maldives,
Mali,
Malta,
Marshall Islands,
Martinique,
Mauritania,
Mauritius,
Mexico,
"Micronesia, Fed. Sts.",micronesia
Moldova,
Monaco,
Mongolia,
Montenegro,
Morocco,
Mozambique,
Myanmar,
Namibia,
Nauru,
Nepal,
Netherlands,
Netherlands Antilles (former),antilles
New Zealand,
Nicaragua,
Niger,
Nigeria,
Niue,
North Macedonia,
Norway,
Oman,
Pakistan,
Palau,
Panama,
Papua New Guinea,
Paraguay,
Peru,
Philippines,
Poland,
Portugal,
Puerto Rico,
Qatar,
Réunion,
Romania,
Russian Federation,russia
Rwanda,
Samoa,
San Marino,
São Tomé and Principe,sao_tome_and_principe
Saudi Arabia,
Senegal,
Serbia,
Seychelles,
Sierra Leone,
Singapore,
Slovak Republic,slovakia
Slovenia,
Solomon Islands,
Somalia,
South Africa,
South Sudan,
Spain,
Sri Lanka,
St. Kitts and Nevis,
St. Lucia,
St. Vincent and the Grenadines,
Sudan,
Suriname,
Sweden,
Switzerland,
Syrian Arab Republic,syria
"Taiwan, China",taiwan
Tajikistan,
Tanzania,
Thailand,
Timor-Leste,east_timor
Togo,
Tonga,
Trinidad and Tobago,
Tunisia,
Türkiye,
Turkmenistan,
Tuvalu,
Uganda,
Ukraine,
United Arab Emirates,
United Kingdom,
United States,
Uruguay,
Uzbekistan,
Vanuatu,
"Venezuela, RB",
Vietnam,
Virgin Islands (U.S.),
West Bank and Gaza,
"Yemen, Rep.",yemen
Zambia,
Zimbabwe,
