country,2016_estimate,2017_estimate
afghanistan,-1.54,-1.53
angola,-1.48,-1.44
burundi,-1.28,-1.32
benin,-0.53,-0.58
burkina_faso,-0.17,-0.14
bangladesh,-0.89,-0.86
bhutan,1.09,1.53
south_sudan,-1.76,-1.75
central_african_republic,-1.31,-1.2
comoros,-0.71,-0.71
djibouti,-0.69,-0.67
eritrea,-1.34,-1.23
ethiopia,-0.44,-0.58
guinea,-0.95,-1.04
gambia,-0.85,-0.66
guinea_bissau,-1.59,-1.6
haiti,-1.35,-1.26
cambodia,-1.3,-1.32
kiribati,0.29,0.42
laos,-0.99,-0.97
liberia,-0.74,-0.69
lesotho,-0.05,-0.06
madagascar,-0.93,-1.07
mali,-0.68,-0.67
myanmar,-0.64,-0.59
mozambique,-0.9,-0.86
mauritania,-0.76,-0.77
malawi,-0.78,-0.69
niger,-0.67,-0.69
nepal,-0.83,-0.78
rwanda,0.62,0.61
sudan,-1.56,-1.56
senegal,-0.02,-0.11
solomon_islands,-0.36,0.1
sierra_leone,-0.84,-0.59
somalia,-1.69,-1.71
sao_tome_and_principe,-0.08,0.15
chad,-1.51,-1.46
togo,-0.71,-0.74
east_timor,-0.54,-0.57
tuvalu,0.06,0.07
tanzania,-0.53,-0.49
uganda,-1.09,-1.07
vanuatu,-0.09,0.0
yemen,-1.7,-1.62
democratic_republic_of_congo,-1.37,-1.45
zambia,-0.43,-0.57
