country,2016_estimate,2017_estimate
afghanistan,-1.29,-1.39
angola,-0.97,-0.95
burundi,-1.48,-1.38
benin,-0.62,-0.7
burkina_faso,-0.64,-0.64
bangladesh,-0.71,-0.75
bhutan,0.5,0.56
south_sudan,-2.34,-2.44
central_african_republic,-1.81,-1.79
comoros,-1.68,-1.68
djibouti,-1.04,-1.09
eritrea,-1.78,-1.8
ethiopia,-0.71,-0.76
guinea,-1.06,-1.09
gambia,-0.94,-0.75
guinea_bissau,-1.71,-1.81
haiti,-2.17,-2.13
cambodia,-0.74,-0.7
kiribati,-0.3,-0.06
laos,-0.43,-0.42
liberia,-1.32,-1.37
lesotho,-0.88,-0.93
madagascar,-1.23,-1.2
mali,-1.03,-0.96
myanmar,-1.01,-1.09
mozambique,-0.95,-0.96
mauritania,-0.85,-0.8
malawi,-0.8,-0.73
niger,-0.69,-0.75
nepal,-0.89,-0.94
rwanda,0.01,0.18
sudan,-1.56,-1.48
senegal,-0.5,-0.37
solomon_islands,-0.93,-0.93
sierra_leone,-1.22,-1.22
somalia,-2.21,-2.26
sao_tome_and_principe,-0.78,-0.85
chad,-1.56,-1.51
togo,-1.12,-1.17
east_timor,-1.04,-1.0
tuvalu,-0.92,-0.69
tanzania,-0.61,-0.68
uganda,-0.63,-0.63
vanuatu,-0.96,-0.97
yemen,-1.91,-1.95
democratic_republic_of_congo,-1.56,-1.67
zambia,-0.74,-0.7
