country,2016_estimate,2017_estimate
afghanistan,-1.52,-1.58
angola,-1.0,-1.04
burundi,-1.48,-1.41
benin,-0.63,-0.64
burkina_faso,-0.45,-0.41
bangladesh,-0.67,-0.68
bhutan,0.51,0.63
south_sudan,-1.98,-1.97
central_african_republic,-1.85,-1.76
comoros,-1.05,-1.11
djibouti,-1.0,-0.93
eritrea,-1.66,-1.6
ethiopia,-0.51,-0.47
guinea,-1.24,-1.25
gambia,-0.8,-0.46
guinea_bissau,-1.54,-1.47
haiti,-1.01,-1.1
cambodia,-1.08,-1.08
kiribati,0.3,0.6
laos,-0.81,-0.9
liberia,-0.97,-0.97
lesotho,-0.19,-0.3
madagascar,-0.83,-0.88
mali,-0.8,-0.79
myanmar,-0.9,-0.96
mozambique,-1.07,-1.01
mauritania,-0.75,-0.62
malawi,-0.39,-0.39
niger,-0.69,-0.71
nepal,-0.81,-0.69
rwanda,0.1,0.12
sudan,-1.28,-1.13
senegal,-0.12,-0.17
solomon_islands,-0.3,-0.19
sierra_leone,-0.8,-0.81
somalia,-2.32,-2.26
sao_tome_and_principe,-0.69,-0.73
chad,-1.41,-1.32
togo,-0.65,-0.73
east_timor,-1.18,-1.18
tuvalu,0.56,0.64
tanzania,-0.39,-0.47
uganda,-0.27,-0.32
vanuatu,0.4,0.54
yemen,-1.67,-1.77
democratic_republic_of_congo,-1.65,-1.72
zambia,-0.31,-0.34
