country,2016_estimate,2017_estimate
afghanistan,-1.04,-0.99
angola,-1.14,-1.09
bangladesh,-0.58,-0.62
benin,0.41,0.38
bhutan,-0.03,0.01
burkina_faso,0.01,0.06
burundi,-1.56,-1.58
cambodia,-1.11,-1.15
central_african_republic,-1.08,-1.11
chad,-1.36,-1.37
comoros,-0.29,-0.34
democratic_republic_of_congo,-1.41,-1.47
djibouti,-1.37,-1.41
east_timor,0.22,0.34
eritrea,-2.17,-2.17
ethiopia,-1.4,-1.43
gambia,-1.26,-0.62
guinea,-0.76,-0.74
guinea_bissau,-0.73,-0.8
haiti,-0.76,-0.74
kiribati,1,1.05
laos,-1.76,-1.75
lesotho,-0.01,-0.01
liberia,-0.11,0.04
madagascar,-0.32,-0.35
malawi,-0.03,-0.03
mali,-0.18,-0.21
mauritania,-0.77,-0.8
mozambique,-0.42,-0.42
myanmar,-0.8,-0.86
nepal,-0.25,-0.2
niger,-0.42,-0.43
rwanda,-1.15,-1.12
sao_tome_and_principe,0.36,0.3
senegal,0.37,0.32
sierra_leone,-0.2,-0.19
solomon_islands,0.47,0.49
somalia,-1.91,-1.78
south_sudan,-1.8,-1.82
sudan,-1.83,-1.84
tanzania,-0.22,-0.28
togo,-0.55,-0.62
tuvalu,1.08,1.08
uganda,-0.65,-0.59
vanuatu,0.66,0.69
yemen,-1.69,-1.69
zambia,-0.3,-0.34
